Taiwan Semiconductor Manufacturing PE Ratio Historical Data,Taiwan Semiconductor Manufacturing PE Ratio Historical Data,Taiwan Semiconductor Manufacturing PE Ratio Historical Data,Taiwan Semiconductor Manufacturing PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,205.84,,36.82
2024-06-30,173.18,$5.59,30.98
2024-03-31,135.13,$5.25,25.74
2023-12-31,102.89,$5.18,19.86
2023-09-30,85.57,$5.56,15.39
2023-06-30,98.87,$6.06,16.32
2023-03-31,90.76,$6.47,14.03
2022-12-31,72.31,$6.56,11.02
2022-09-30,66.18,$5.82,11.37
2022-06-30,78.47,$4.96,15.82
2022-03-31,99.53,$4.37,22.78
2021-09-30,105.66,$3.94,26.82
2021-06-30,113.25,$3.76,30.12
2021-03-31,111.06,$3.61,30.77
2020-12-31,102.01,$3.80,26.84
2020-09-30,75.52,$3.58,21.09
2020-06-30,52.6,$3.41,15.43
2021-12-31,114.34,$3.25,35.18
2020-03-31,43.95,$2.51,17.51
2019-12-31,52.93,$2.14,24.73
2019-09-30,42.04,$2.04,20.61
2019-06-30,35.18,$1.98,17.77
2019-03-31,35.63,$2.04,17.47
2018-12-31,32.11,$2.25,14.27
2018-09-30,38.42,$2.26,17.0
2018-06-30,31.81,$2.27,14.01
2018-03-31,36.75,$2.22,16.55
2017-12-31,33.3,$2.17,15.35
2017-09-30,31.54,$2.14,14.74
2017-06-30,29.36,$2.16,13.59
2017-03-31,26.73,$2.17,12.32
2016-12-31,23.4,$2.01,11.64
2016-09-30,24.9,$1.83,13.6
2016-06-30,21.35,$1.70,12.56
2016-03-31,20.55,$1.77,11.61
2015-12-31,17.84,$1.87,9.54
2015-09-30,16.27,$1.94,8.39
2015-06-30,17.81,$1.97,9.04
2015-03-31,17.84,$1.85,9.64
2014-12-31,17.0,$1.68,10.12
2014-09-30,15.33,$1.47,10.43
2014-06-30,15.9,$1.32,12.05
2014-03-31,14.88,$1.27,11.72
2013-12-31,12.96,$1.22,10.63
2013-09-30,12.61,$1.21,10.42
2013-06-30,13.32,$1.19,11.2
2013-03-31,12.5,$1.13,11.06
2012-12-31,12.48,$1.09,11.45
2012-09-30,11.51,$1.01,11.39
2012-06-30,9.86,$0.89,11.08
2012-03-31,10.8,$0.86,12.55
2011-12-31,9.12,$0.88,10.37
2011-09-30,8.08,$0.94,8.59
2011-06-30,8.91,$1.02,8.74
2011-03-31,8.33,$1.02,8.17
2010-12-31,8.58,$0.98,8.75
2010-09-30,6.93,$0.91,7.62
2010-06-30,6.43,$0.81,7.94
2010-03-31,6.91,$0.71,9.74
2009-12-31,7.54,$0.52,14.5
