Playa Hotels & Resorts PE Ratio Historical Data,Playa Hotels & Resorts PE Ratio Historical Data,Playa Hotels & Resorts PE Ratio Historical Data,Playa Hotels & Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.74,,20.33
2024-06-30,8.39,$0.43,19.51
2024-03-31,9.7,$0.46,21.09
2023-12-31,8.65,$0.34,25.44
2023-09-30,7.24,$0.24,30.17
2023-06-30,8.14,$0.30,27.13
2023-03-31,9.6,$0.35,27.43
2022-12-31,6.53,$0.34,19.21
2022-09-30,5.82,$0.43,13.53
2022-06-30,6.87,$0.36,19.08
2022-03-31,8.65,$0.13,66.54
2021-12-31,7.98,$-0.68,0.0
2021-09-30,8.29,$-1.26,0.0
2021-06-30,7.43,$-1.85,0.0
2020-12-31,5.95,$-1.97,0.0
2020-09-30,4.19,$-1.56,0.0
2020-06-30,3.62,$-1.41,0.0
2020-03-31,1.75,$-0.97,0.0
2019-12-31,8.4,$-0.79,0.0
2021-03-31,7.3,$-0.32,0.0
2019-09-30,7.83,$0.00,0.0
2019-06-30,7.71,$0.19,40.58
2019-03-31,7.63,$0.32,23.84
2018-12-31,7.19,$0.19,37.84
2018-09-30,9.63,$0.19,50.68
2018-06-30,10.8,$0.18,60.0
2018-03-31,10.22,$-0.07,0.0
2017-12-31,10.79,$-0.06,0.0
