LKQ PE Ratio Historical Data,LKQ PE Ratio Historical Data,LKQ PE Ratio Historical Data,LKQ PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,41.59,,15.23
2024-06-30,41.28,$2.73,15.12
2024-03-31,52.65,$3.08,17.1
2023-12-31,46.84,$3.50,13.38
2023-09-30,48.21,$3.56,13.54
2023-06-30,56.45,$3.73,15.13
2023-03-31,54.72,$4.17,13.12
2022-12-31,51.22,$4.11,12.46
2022-09-30,44.99,$4.20,10.71
2022-06-30,46.63,$4.21,11.08
2022-03-31,42.92,$3.73,11.51
2021-12-31,56.44,$3.66,15.42
2021-09-30,47.11,$3.44,13.69
2021-06-30,46.08,$3.12,14.77
2021-03-31,39.63,$2.50,15.85
2020-12-31,32.99,$2.08,15.86
2020-09-30,25.96,$1.98,13.11
2020-06-30,24.53,$1.82,13.48
2019-12-31,33.42,$1.74,19.21
2019-09-30,29.44,$1.39,21.18
2019-06-30,24.91,$1.37,18.18
2019-03-31,26.57,$1.31,20.28
2018-12-31,22.21,$1.50,14.81
2020-03-31,19.2,$1.88,10.21
2018-09-30,29.65,$1.81,16.38
2018-06-30,29.86,$1.78,16.78
2018-03-31,35.53,$1.77,20.07
2017-12-31,38.07,$1.72,22.14
2017-09-30,33.69,$1.60,21.06
2017-06-30,30.85,$1.61,19.16
2017-03-31,27.4,$1.58,17.34
2016-12-31,28.69,$1.49,19.26
2016-09-30,33.2,$1.52,21.84
2016-06-30,29.68,$1.45,20.47
2016-03-31,29.89,$1.38,21.66
2015-12-31,27.74,$1.38,20.1
2015-09-30,26.55,$1.33,19.96
2015-06-30,28.31,$1.30,21.78
2015-03-31,23.93,$1.25,19.14
2014-12-31,26.32,$1.24,21.23
2014-09-30,24.89,$1.24,20.07
2014-06-30,24.99,$1.18,21.17
2014-03-31,24.67,$1.09,22.63
2013-12-31,30.8,$0.96,32.08
2013-09-30,29.84,$0.88,33.9
2013-06-30,24.11,$0.86,28.19
2012-12-31,19.75,$0.88,22.57
2012-09-30,17.3,$0.86,20.23
2012-06-30,15.62,$0.96,16.35
2012-03-31,14.59,$0.91,16.12
2011-12-31,14.08,$0.80,17.71
2013-03-31,20.37,$0.80,25.46
2011-09-30,11.31,$0.66,17.13
2011-06-30,12.21,$0.62,19.7
2011-03-31,11.28,$0.59,19.12
2010-12-31,10.63,$0.58,18.34
2010-09-30,9.74,$0.57,17.08
2010-06-30,9.02,$0.55,16.56
2010-03-31,9.5,$0.52,18.45
2009-12-31,9.17,$0.45,20.61
