Asbury Automotive PE Ratio Historical Data,Asbury Automotive PE Ratio Historical Data,Asbury Automotive PE Ratio Historical Data,Asbury Automotive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,235.28,,12.07
2024-06-30,227.87,$19.49,11.69
2024-03-31,235.78,$27.44,8.59
2023-12-31,224.97,$28.60,7.87
2023-09-30,230.07,$41.85,5.5
2023-06-30,240.42,$42.89,5.61
2023-03-31,210.0,$42.62,4.93
2022-12-31,179.25,$44.63,4.02
2022-09-30,151.1,$35.12,4.3
2022-06-30,169.34,$33.43,5.07
2022-03-31,160.2,$32.16,4.98
2021-12-31,172.73,$26.56,6.5
2021-09-30,196.74,$24.71,7.96
2021-06-30,171.37,$22.13,7.74
2021-03-31,196.5,$16.90,11.63
2020-12-31,145.74,$13.13,11.1
2020-09-30,97.45,$10.80,9.02
2020-06-30,77.33,$8.17,9.47
2020-03-31,55.23,$8.44,6.54
2019-12-31,111.79,$9.54,11.72
2019-09-30,102.33,$9.34,10.96
2019-06-30,84.34,$9.19,9.18
2019-03-31,69.36,$8.46,8.2
2018-12-31,66.66,$8.28,8.05
2018-09-30,68.75,$8.25,8.33
2018-06-30,68.55,$7.55,9.08
2018-03-31,67.5,$6.96,9.7
2017-12-31,64.0,$8.11,7.89
2017-09-30,61.1,$7.55,8.09
2017-06-30,56.55,$7.72,7.33
2016-12-31,61.7,$7.47,8.26
2016-09-30,55.67,$6.03,9.23
2016-06-30,52.74,$6.17,8.55
2016-03-31,59.84,$6.48,9.23
2015-12-31,67.44,$6.73,10.02
2017-03-31,60.1,$6.39,9.41
2015-09-30,81.15,$5.18,15.67
2015-06-30,90.62,$4.30,21.07
2015-03-31,83.1,$3.96,20.98
2014-12-31,75.92,$3.68,20.63
2014-09-30,64.42,$4.15,15.52
2014-06-30,68.74,$3.80,18.09
2014-03-31,55.31,$3.49,15.85
2013-12-31,53.74,$3.51,15.31
2013-09-30,53.2,$3.37,15.79
2013-06-30,40.1,$3.30,12.15
2013-03-31,36.69,$3.10,11.84
2012-12-31,32.03,$2.62,12.23
2012-09-30,27.95,$2.57,10.88
2012-06-30,23.69,$2.29,10.34
2012-03-31,27.0,$2.05,13.17
2011-12-31,21.56,$2.08,10.37
2011-09-30,16.49,$1.56,10.57
2011-06-30,18.53,$1.56,11.88
2011-03-31,18.49,$1.52,12.16
2010-12-31,18.48,$1.15,16.07
2010-09-30,14.07,$1.00,14.07
2010-06-30,10.54,$0.84,12.55
2010-03-31,13.3,$0.62,21.45
2009-12-31,11.53,$0.41,28.12
