Lakeland Financial PE Ratio Historical Data,Lakeland Financial PE Ratio Historical Data,Lakeland Financial PE Ratio Historical Data,Lakeland Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,68.79,,17.55
2024-06-30,61.11,$3.92,15.59
2024-03-31,65.37,$3.62,18.06
2023-12-31,63.75,$3.65,17.46
2023-09-30,45.98,$3.50,13.14
2023-06-30,46.62,$3.63,12.84
2023-03-31,59.7,$4.06,14.7
2022-12-31,69.11,$4.04,17.11
2022-09-30,68.6,$3.98,17.24
2022-06-30,62.23,$3.81,16.33
2022-03-31,68.04,$3.76,18.09
2021-12-31,74.32,$3.74,19.87
2021-09-30,65.78,$3.76,17.5
2021-06-30,56.58,$3.71,15.25
2021-03-31,63.19,$3.53,17.9
2020-12-31,48.65,$3.30,14.74
2020-09-30,37.18,$3.19,11.66
2020-06-30,41.77,$3.13,13.35
2020-03-31,32.68,$3.21,10.18
2019-12-31,43.24,$3.38,12.79
2019-09-30,38.61,$3.35,11.53
2019-06-30,40.84,$3.32,12.3
2019-03-31,39.19,$3.25,12.06
2018-12-31,34.6,$3.12,11.09
2018-09-30,39.78,$2.74,14.52
2018-06-30,40.94,$2.56,15.99
2018-03-31,39.07,$2.38,16.42
2017-12-31,40.8,$2.24,18.21
2017-09-30,40.81,$2.32,17.59
2017-06-30,38.25,$2.23,17.15
2017-03-31,35.77,$2.14,16.74
2016-12-31,39.11,$2.05,19.05
2016-09-30,29.09,$2.01,14.47
2016-06-30,17.06,$1.94,8.8
2016-03-31,16.52,$1.89,8.75
2015-12-31,16.72,$1.84,9.09
2015-09-30,16.1,$1.79,8.98
2015-06-30,15.38,$1.79,8.58
2015-03-31,14.31,$1.79,7.98
2014-12-31,15.25,$1.75,8.73
2014-09-30,13.08,$1.73,7.58
2014-06-30,13.23,$1.66,7.97
2014-03-31,13.87,$1.58,8.78
2013-12-31,13.38,$1.56,8.58
2013-09-30,11.14,$1.49,7.5
2013-06-30,9.41,$1.47,6.39
2013-03-31,8.99,$1.46,6.16
2012-12-31,8.7,$1.43,6.07
2012-09-30,9.17,$1.42,6.46
2012-06-30,8.86,$1.39,6.39
2012-03-31,8.53,$1.35,6.31
2011-12-31,8.43,$1.25,6.73
2011-09-30,6.69,$1.16,5.77
2011-06-30,7.16,$1.08,6.63
2011-03-31,7.24,$0.91,7.93
2010-12-31,6.81,$0.88,7.74
2010-09-30,5.87,$0.85,6.88
2010-06-30,6.24,$0.83,7.54
2010-03-31,5.9,$0.86,6.86
2009-12-31,5.3,$0.84,6.31
