Apollo Commercial Real Estate Finance PE Ratio Historical Data,Apollo Commercial Real Estate Finance PE Ratio Historical Data,Apollo Commercial Real Estate Finance PE Ratio Historical Data,Apollo Commercial Real Estate Finance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.9,,127.14
2024-06-30,9.53,$0.07,136.15
2024-03-31,10.47,$-0.78,0.0
2023-12-31,10.69,$0.30,35.64
2023-09-30,8.97,$-0.06,0.0
2023-06-30,9.69,$0.77,12.58
2023-03-31,7.73,$1.83,4.22
2022-12-31,8.6,$1.59,5.41
2022-09-30,6.43,$1.88,3.42
2022-06-30,7.76,$1.13,6.87
2022-03-31,10.01,$1.11,9.02
2021-12-31,9.23,$1.40,6.59
2021-09-30,10.12,$1.40,7.23
2021-06-30,10.64,$1.33,8.0
2021-03-31,9.12,$1.27,7.18
2020-12-31,7.12,$0.04,177.88
2020-09-30,5.57,$0.23,24.2
2020-06-30,5.83,$0.08,72.92
2020-03-31,4.26,$0.09,47.34
2019-12-31,9.95,$1.38,7.21
2019-09-30,10.18,$1.30,7.83
2019-06-30,9.53,$1.54,6.19
2019-03-31,9.2,$1.56,5.9
2018-12-31,8.22,$1.51,5.44
2018-09-30,9.06,$1.49,6.08
2018-06-30,8.57,$1.50,5.71
2018-03-31,8.22,$1.71,4.81
2017-12-31,8.22,$2.16,3.81
2017-03-31,7.79,$1.90,4.1
2016-12-31,6.72,$1.67,4.02
2016-09-30,6.43,$1.39,4.63
2016-06-30,6.15,$1.10,5.59
2016-03-31,6.06,$1.43,4.24
2015-12-31,6.22,$1.64,3.8
2017-09-30,7.88,$1.79,4.4
2015-09-30,5.53,$1.68,3.29
2015-06-30,5.63,$1.66,3.39
2015-03-31,5.73,$1.78,3.22
2014-12-31,5.32,$1.73,3.08
2014-09-30,4.99,$1.67,2.99
2014-06-30,5.11,$1.59,3.21
2014-03-31,5.03,$1.35,3.73
2013-12-31,4.8,$1.21,3.97
2013-09-30,4.4,$1.17,3.76
2013-06-30,4.46,$1.14,3.91
2017-06-30,7.87,$1.39,5.66
2013-03-31,4.82,$1.58,3.05
2012-12-31,4.35,$1.68,2.59
2012-09-30,4.53,$1.83,2.48
2012-06-30,4.11,$1.59,2.58
2012-03-31,3.9,$1.49,2.62
2011-12-31,3.19,$1.35,2.36
2011-09-30,3.11,$1.16,2.68
2011-06-30,3.69,$1.09,3.39
2011-03-31,3.65,$0.99,3.69
2010-12-31,3.57,$0.86,4.15
2010-09-30,3.42,$0.64,5.35
2010-06-30,3.42,$0.42,8.14
