Hilltop Holdings PE Ratio Historical Data,Hilltop Holdings PE Ratio Historical Data,Hilltop Holdings PE Ratio Historical Data,Hilltop Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.49,,18.67
2024-06-30,31.11,$1.74,17.88
2024-03-31,30.98,$1.71,18.12
2023-12-31,34.64,$1.69,20.5
2023-09-30,27.75,$1.64,16.92
2023-06-30,30.62,$1.57,19.51
2023-03-31,28.73,$1.74,16.51
2022-12-31,28.92,$1.62,17.85
2022-09-30,23.82,$2.01,11.85
2022-06-30,25.43,$2.66,9.56
2022-03-31,27.9,$3.42,8.16
2021-12-31,33.19,$4.60,7.22
2021-09-30,30.76,$5.17,5.95
2021-06-30,34.15,$5.72,5.97
2021-03-31,31.91,$5.93,5.38
2020-12-31,25.62,$5.02,5.1
2020-09-30,19.1,$4.21,4.54
2020-06-30,17.05,$3.37,5.06
2020-03-31,13.88,$2.57,5.4
2019-12-31,22.79,$2.43,9.38
2019-09-30,21.77,$2.19,9.94
2019-06-30,19.31,$1.71,11.3
2019-03-31,16.51,$1.44,11.46
2018-12-31,16.06,$1.28,12.55
2018-09-30,18.1,$1.12,16.16
2018-06-30,19.74,$1.05,18.8
2018-03-31,20.92,$1.33,15.73
2017-12-31,22.52,$1.35,16.68
2017-09-30,23.06,$1.57,14.69
2017-06-30,23.19,$1.79,12.95
2017-03-31,24.25,$1.48,16.38
2016-12-31,26.25,$1.49,17.62
2016-09-30,19.74,$1.34,14.73
2016-06-30,18.45,$1.28,14.41
2016-03-31,16.59,$1.26,13.17
2015-12-31,16.89,$2.11,8.0
2015-09-30,17.41,$2.25,7.74
2015-06-30,21.17,$2.04,10.38
2015-03-31,17.08,$2.04,8.37
2014-12-31,17.53,$1.17,14.98
2014-09-30,17.62,$1.16,15.19
2014-06-30,18.68,$1.26,14.83
2014-03-31,20.91,$1.20,17.42
2013-12-31,20.33,$1.33,15.28
2013-09-30,16.26,$1.12,14.52
2013-06-30,14.41,$0.69,20.89
2013-03-31,11.85,$0.26,45.59
2012-12-31,11.9,$-0.12,0.0
2012-09-30,11.17,$-0.16,0.0
2012-06-30,9.06,$-0.09,0.0
2012-03-31,7.37,$-0.13,0.0
2011-12-31,7.43,$-0.12,0.0
2011-09-30,6.34,$-0.19,0.0
2011-06-30,7.77,$-0.32,0.0
2011-03-31,8.82,$-0.18,0.0
2010-12-31,8.72,$-0.24,0.0
2010-09-30,8.42,$-0.25,0.0
2010-06-30,8.8,$-0.14,0.0
2010-03-31,10.33,$-0.24,0.0
2009-12-31,10.23,$-0.22,0.0
