Monarch Casino & Resort PE Ratio Historical Data,Monarch Casino & Resort PE Ratio Historical Data,Monarch Casino & Resort PE Ratio Historical Data,Monarch Casino & Resort PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,77.33,,18.07
2024-06-30,67.86,$4.28,15.86
2024-03-31,74.36,$4.23,17.58
2023-12-31,68.28,$4.20,16.26
2023-09-30,61.03,$4.41,13.84
2023-06-30,68.93,$4.59,15.02
2023-03-31,72.21,$4.44,16.26
2022-12-31,70.12,$4.46,15.72
2022-09-30,51.2,$4.34,11.8
2022-06-30,53.5,$4.08,13.11
2022-03-31,79.55,$4.02,19.79
2021-12-31,67.44,$3.52,19.16
2021-09-30,61.09,$3.30,18.51
2021-06-30,60.34,$2.72,22.18
2021-03-31,55.28,$1.55,35.67
2020-12-31,55.83,$1.24,45.02
2020-09-30,40.67,$0.77,52.82
2020-06-30,31.08,$0.70,44.4
2020-03-31,25.6,$1.44,17.78
2019-12-31,44.27,$1.71,25.89
2019-09-30,38.02,$1.77,21.48
2019-06-30,38.98,$1.85,21.07
2019-03-31,40.05,$1.85,21.65
2018-12-31,34.78,$1.83,19.01
2018-09-30,41.45,$1.67,24.82
2018-06-30,40.17,$1.58,25.42
2018-03-31,38.57,$1.48,26.06
2017-12-31,40.87,$1.39,29.4
2017-09-30,36.05,$1.52,23.72
2017-06-30,27.59,$1.48,18.64
2017-03-31,26.94,$1.40,19.24
2016-12-31,23.51,$1.39,16.91
2016-09-30,22.95,$1.32,17.39
2016-06-30,20.04,$1.24,16.16
2016-03-31,17.75,$1.21,14.67
2015-12-31,20.72,$1.19,17.41
2015-09-30,16.39,$1.12,14.63
2015-06-30,18.75,$0.99,18.94
2015-03-31,17.45,$0.88,19.83
2014-12-31,15.13,$0.83,18.23
2014-09-30,10.86,$0.73,14.88
2014-06-30,13.81,$0.81,17.05
2014-03-31,16.9,$1.00,16.9
2013-12-31,18.31,$1.07,17.11
2013-09-30,17.31,$1.03,16.8
2013-06-30,15.38,$0.96,16.02
2013-03-31,8.87,$0.70,12.68
2012-12-31,9.95,$0.54,18.42
2012-09-30,7.94,$0.49,16.21
2012-06-30,8.34,$0.24,34.73
2012-03-31,9.39,$0.35,26.84
2011-12-31,9.29,$0.34,27.33
2011-09-30,8.92,$0.34,26.23
2011-06-30,9.52,$0.51,18.67
2011-03-31,9.48,$0.45,21.08
2010-12-31,11.4,$0.51,22.35
2010-09-30,10.23,$0.49,20.88
2010-06-30,9.24,$0.45,20.53
2010-03-31,7.75,$0.40,19.38
2009-12-31,7.39,$0.31,23.83
