Enterprise Financial Services PE Ratio Historical Data,Enterprise Financial Services PE Ratio Historical Data,Enterprise Financial Services PE Ratio Historical Data,Enterprise Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,53.85,,11.78
2024-06-30,40.7,$4.57,8.9
2024-03-31,40.07,$4.67,8.58
2023-12-31,43.82,$5.08,8.63
2023-09-30,36.6,$5.50,6.65
2023-06-30,37.92,$5.65,6.71
2023-03-31,42.99,$5.55,7.75
2022-12-31,46.95,$5.32,8.83
2022-09-30,42.02,$5.07,8.29
2022-06-30,39.4,$4.13,9.54
2022-03-31,44.68,$4.17,10.72
2021-12-31,44.29,$3.90,11.36
2021-09-30,42.4,$3.57,11.88
2021-06-30,43.25,$3.87,11.18
2021-03-31,45.92,$3.20,14.35
2020-12-31,32.35,$2.72,11.89
2020-09-30,25.12,$2.81,8.94
2020-06-30,28.49,$3.21,8.87
2020-03-31,25.4,$3.33,7.63
2019-12-31,43.62,$3.52,12.39
2019-09-30,36.73,$3.45,10.65
2019-06-30,37.35,$3.34,11.18
2019-03-31,36.47,$3.61,10.1
2018-12-31,33.56,$3.84,8.74
2018-09-30,47.16,$3.14,15.02
2018-06-30,47.85,$2.86,16.73
2018-03-31,41.51,$2.41,17.23
2017-12-31,39.88,$2.07,19.26
2017-09-30,37.31,$2.42,15.42
2017-06-30,35.84,$2.32,15.45
2017-03-31,37.15,$2.43,15.29
2016-12-31,37.58,$2.41,15.59
2016-09-30,27.24,$2.26,12.05
2016-06-30,24.22,$2.15,11.27
2016-03-31,23.4,$2.00,11.7
2015-12-31,24.45,$1.76,13.89
2015-09-30,21.65,$1.65,13.12
2015-03-31,17.67,$1.53,11.55
2014-12-31,16.83,$1.37,12.29
2014-09-30,14.22,$1.25,11.38
2014-06-30,15.32,$1.27,12.06
2014-03-31,16.97,$1.35,12.57
2013-12-31,17.22,$1.63,10.57
2015-06-30,19.53,$1.98,9.86
2013-09-30,14.22,$1.78,7.99
2013-06-30,13.38,$1.73,7.74
2013-03-31,11.98,$1.59,7.54
2012-12-31,10.88,$1.37,7.94
2012-09-30,11.28,$1.50,7.52
2012-06-30,9.05,$1.60,5.66
2012-03-31,9.65,$1.68,5.74
2011-12-31,12.11,$1.79,6.76
2011-09-30,11.08,$1.81,6.12
2011-06-30,10.99,$1.61,6.82
2011-03-31,11.38,$1.10,10.34
2010-12-31,8.42,$0.43,19.59
2010-09-30,7.45,$-0.07,0.0
2010-06-30,7.68,$-0.05,0.0
2010-03-31,8.76,$-0.08,0.0
2009-12-31,6.07,$-3.82,0.0
