A10 Networks PE Ratio Historical Data,A10 Networks PE Ratio Historical Data,A10 Networks PE Ratio Historical Data,A10 Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.73,,24.97
2024-06-30,13.79,$0.59,23.37
2024-03-31,13.57,$0.61,22.25
2023-12-31,13.0,$0.53,24.53
2023-09-30,14.76,$0.53,27.85
2023-06-30,14.27,$0.60,23.79
2023-03-31,15.09,$0.58,26.01
2022-12-31,16.13,$0.61,26.45
2022-09-30,12.83,$0.50,25.67
2022-06-30,13.86,$1.28,10.83
2022-03-31,13.4,$1.23,10.9
2021-12-31,15.87,$1.18,13.45
2021-09-30,12.86,$1.15,11.19
2021-06-30,10.75,$0.29,37.06
2021-03-31,9.17,$0.26,35.27
2020-12-31,9.41,$0.23,40.91
2020-09-30,6.08,$0.13,46.76
2020-06-30,6.5,$0.05,129.98
2020-03-31,5.93,$-0.08,0.0
2019-12-31,6.56,$-0.24,0.0
2019-09-30,6.62,$-0.26,0.0
2019-06-30,6.51,$-0.28,0.0
2019-03-31,6.77,$-0.26,0.0
2018-12-31,5.96,$-0.10,0.0
2018-09-30,5.8,$-0.08,0.0
2018-06-30,5.95,$-0.10,0.0
2018-03-31,5.55,$-0.16,0.0
2017-12-31,7.37,$-0.22,0.0
2017-09-30,7.21,$-0.25,0.0
2017-06-30,8.05,$-0.28,0.0
2017-03-31,8.73,$-0.24,0.0
2016-12-31,7.93,$-0.33,0.0
2016-09-30,10.2,$-0.42,0.0
2016-06-30,6.17,$-0.49,0.0
2016-03-31,5.65,$-0.57,0.0
2015-12-31,6.26,$-0.64,0.0
2015-09-30,5.72,$-0.78,0.0
2015-06-30,6.15,$-0.85,0.0
2015-03-31,4.13,$-0.71,0.0
2014-12-31,4.16,$-0.94,0.0
