Kforce PE Ratio Historical Data,Kforce PE Ratio Historical Data,Kforce PE Ratio Historical Data,Kforce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.06,,20.84
2024-06-30,61.75,$2.69,22.96
2024-03-31,69.66,$2.89,24.1
2023-12-31,66.37,$3.13,21.2
2023-09-30,58.3,$2.66,21.92
2023-06-30,60.86,$3.21,18.96
2023-03-31,61.05,$3.56,17.15
2022-12-31,52.62,$3.67,14.34
2022-09-30,55.95,$4.30,13.01
2022-06-30,58.23,$4.17,13.96
2022-03-31,69.91,$3.87,18.06
2021-12-31,70.78,$3.56,19.88
2021-09-30,55.92,$3.44,16.26
2021-06-30,58.75,$3.37,17.43
2021-03-31,49.86,$2.84,17.56
2020-12-31,38.98,$2.64,14.77
2020-09-30,29.65,$2.42,12.25
2020-06-30,26.8,$2.17,12.35
2020-03-31,23.28,$4.76,4.89
2019-12-31,35.92,$5.41,6.64
2019-09-30,34.08,$5.42,6.29
2019-06-30,31.44,$5.42,5.8
2019-03-31,31.3,$3.01,10.4
2018-12-31,27.42,$2.31,11.87
2018-09-30,33.14,$1.90,17.44
2018-06-30,30.11,$1.66,18.14
2018-03-31,23.66,$1.45,16.32
2017-12-31,21.99,$1.31,16.79
2017-09-30,17.51,$1.43,12.25
2017-06-30,16.88,$1.37,12.32
2017-03-31,20.32,$1.34,15.16
2016-12-31,19.67,$1.25,15.73
2016-09-30,17.36,$1.32,13.15
2016-06-30,14.22,$1.46,9.74
2016-03-31,16.38,$1.46,11.22
2015-12-31,21.01,$1.62,12.97
2015-09-30,21.74,$3.25,6.69
2015-06-30,18.84,$3.10,6.08
2014-12-31,19.69,$2.88,6.84
2014-09-30,15.89,$2.33,6.82
2014-06-30,17.49,$0.47,37.21
2014-03-31,17.15,$0.41,41.82
2013-12-31,16.38,$0.43,38.09
2015-03-31,18.29,$0.77,23.76
2013-09-30,14.09,$0.74,19.03
2013-06-30,11.62,$0.73,15.92
2013-03-31,13.03,$-0.38,0.0
2012-12-31,11.42,$-0.35,0.0
2012-09-30,8.7,$-0.32,0.0
2012-06-30,9.94,$-0.36,0.0
2012-03-31,11.0,$0.71,15.49
2011-12-31,9.1,$0.71,12.82
2011-09-30,7.24,$0.67,10.81
2011-06-30,9.66,$0.61,15.83
2011-03-31,13.51,$0.57,23.7
2010-12-31,11.95,$0.52,22.97
2010-09-30,10.13,$0.45,22.51
2010-06-30,9.41,$0.35,26.89
2010-03-31,11.23,$0.32,35.09
2009-12-31,9.23,$0.33,27.96
