Playtika Holding PE Ratio Historical Data,Playtika Holding PE Ratio Historical Data,Playtika Holding PE Ratio Historical Data,Playtika Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.58,,13.3
2024-06-30,7.87,$0.57,13.81
2024-03-31,7.05,$0.55,12.82
2023-12-31,8.72,$0.64,13.63
2023-09-30,9.63,$0.78,12.35
2023-06-30,11.6,$0.85,13.65
2023-03-31,11.26,$0.73,15.42
2022-12-31,8.51,$0.70,12.16
2022-09-30,9.39,$0.71,13.23
2022-06-30,13.24,$0.74,17.89
2022-03-31,19.33,$0.87,22.22
2021-12-31,17.29,$0.76,22.75
