Millicom Cellular SA PE Ratio Historical Data,Millicom Cellular SA PE Ratio Historical Data,Millicom Cellular SA PE Ratio Historical Data,Millicom Cellular SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.41,,0.0
2024-06-30,24.55,$-0.03,0.0
2023-12-31,18.0,$-0.47,0.0
2023-09-30,15.45,$0.22,70.23
2023-06-30,15.24,$0.04,381.0
2023-03-31,18.92,$1.30,14.55
2022-12-31,12.63,$1.51,8.36
2022-09-30,11.41,$7.59,1.5
2022-06-30,14.37,$7.82,1.84
2022-03-31,25.21,$5.71,4.42
2021-12-31,28.45,$5.89,4.83
2021-09-30,36.15,$-1.07,0.0
2021-06-30,39.57,$-0.58,0.0
2021-03-31,38.21,$-0.10,0.0
2020-12-31,38.78,$-1.65,0.0
2024-03-31,20.23,$-2.31,0.0
2020-09-30,30.28,$-0.65,0.0
2020-06-30,26.15,$-1.44,0.0
2020-03-31,28.4,$0.15,189.33
2019-12-31,48.23,$1.50,32.15
