Columbia Financial PE Ratio Historical Data,Columbia Financial PE Ratio Historical Data,Columbia Financial PE Ratio Historical Data,Columbia Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.63,,97.94
2024-06-30,14.97,$0.18,83.17
2024-03-31,17.21,$0.16,107.56
2023-12-31,19.28,$0.35,55.09
2023-09-30,15.71,$0.50,31.42
2023-06-30,17.29,$0.60,28.82
2023-03-31,18.28,$0.80,22.85
2022-12-31,21.62,$0.82,26.37
2022-09-30,21.13,$0.84,25.15
2022-06-30,21.81,$0.85,25.66
2022-03-31,21.51,$0.89,24.17
2021-12-31,20.86,$0.89,23.44
2021-09-30,18.5,$0.85,21.76
2021-06-30,17.22,$0.79,21.8
2021-03-31,17.48,$0.67,26.09
2020-12-31,15.56,$0.53,29.36
2020-09-30,11.1,$0.46,24.13
2020-06-30,13.96,$0.45,31.01
2020-03-31,14.4,$0.42,34.29
2019-12-31,16.94,$0.49,34.57
2019-09-30,15.79,$0.50,31.58
2019-06-30,15.1,$0.47,32.13
2019-03-31,15.67,$0.23,68.13
