R1 RCM PE Ratio Historical Data,R1 RCM PE Ratio Historical Data,R1 RCM PE Ratio Historical Data,R1 RCM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.23,,0.0
2024-06-30,12.56,$-0.10,0.0
2024-03-31,12.88,$-0.08,0.0
2023-12-31,10.57,0,0.0
2023-09-30,15.07,$-0.09,0.0
2023-06-30,18.45,$-0.16,0.0
2023-03-31,15.0,$-0.23,0.0
2022-12-31,10.95,$-0.14,0.0
2022-09-30,18.53,$0.06,308.83
2022-06-30,20.96,$0.18,116.44
2022-03-31,26.76,$0.31,86.32
2021-12-31,25.49,$-2.15,0.0
2021-09-30,22.01,$-2.01,0.0
2021-06-30,22.24,$-2.06,0.0
2021-03-31,24.68,$-2.09,0.0
2020-12-31,24.02,$0.33,72.79
2020-09-30,17.15,$0.09,190.56
2020-06-30,11.15,$0.10,111.5
2020-03-31,9.09,$-0.02,0.0
2019-12-31,12.98,$-0.11,0.0
2019-09-30,8.93,$-0.22,0.0
2019-06-30,12.58,$-0.40,0.0
2019-03-31,9.67,$-0.38,0.0
2018-12-31,7.95,$-0.60,0.0
2018-09-30,10.16,$-0.94,0.0
2018-06-30,8.68,$-0.85,0.0
2018-03-31,7.14,$-0.89,0.0
2017-12-31,4.41,$-0.75,0.0
