Alamos Gold PE Ratio Historical Data,Alamos Gold PE Ratio Historical Data,Alamos Gold PE Ratio Historical Data,Alamos Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.07,,40.14
2024-06-30,15.66,$0.50,31.32
2024-03-31,14.71,$0.52,28.28
2023-12-31,13.41,$0.53,25.3
2023-09-30,11.22,$0.51,22.0
2023-06-30,11.82,$0.41,28.83
2023-03-31,12.1,$0.24,50.42
2022-12-31,9.98,$0.10,99.8
2022-09-30,7.3,$0.08,91.2
2022-06-30,6.89,$0.14,49.21
2022-03-31,8.23,$-0.32,0.0
2021-12-31,7.5,$-0.17,0.0
2021-09-30,7.0,$-0.06,0.0
2021-06-30,7.41,$0.05,148.2
2021-03-31,7.54,$0.52,14.51
2020-12-31,8.42,$0.36,23.4
2020-09-30,8.46,$0.27,31.35
2020-06-30,9.0,$0.14,64.27
2020-03-31,4.79,$0.17,28.16
2019-12-31,5.75,$0.24,23.94
2019-09-30,5.53,$-0.04,0.0
2019-06-30,5.75,$-0.06,0.0
2019-03-31,4.82,$-0.14,0.0
2018-12-31,3.41,$-0.18,0.0
2018-09-30,4.36,$-0.01,0.0
2018-06-30,5.38,$0.06,89.67
2018-03-31,4.92,$0.09,54.64
2017-12-31,6.14,$0.01,0.0
2017-09-30,6.37,$0.04,159.3
2017-06-30,6.77,$-0.09,0.0
2016-12-31,6.44,$-0.06,0.0
2016-09-30,7.71,$-0.22,0.0
2016-06-30,8.09,$-0.37,0.0
2016-03-31,4.97,$-0.44,0.0
2015-12-31,3.09,$-0.46,0.0
2015-09-30,3.46,$-0.25,0.0
2015-06-30,5.3,$-0.14,0.0
2015-03-31,5.49,$-0.02,0.0
2014-12-31,6.68,$-0.02,0.0
2014-09-30,7.45,$-0.03,0.0
2014-06-30,9.5,$0.06,158.26
2014-03-31,8.45,$0.25,33.79
2013-12-31,11.36,$0.54,21.04
2013-06-30,11.24,$0.79,14.22
2013-03-31,12.65,$0.92,13.75
2012-12-31,16.23,$0.96,16.9
2012-09-30,17.78,$0.65,27.35
2012-06-30,14.14,$0.51,27.73
