Neurocrine Biosciences PE Ratio Historical Data,Neurocrine Biosciences PE Ratio Historical Data,Neurocrine Biosciences PE Ratio Historical Data,Neurocrine Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,118.46,,35.79
2024-06-30,137.67,$3.31,41.59
2024-03-31,137.92,$3.63,37.99
2023-12-31,131.76,$2.42,54.45
2023-09-30,112.5,$1.86,60.48
2023-06-30,94.3,$1.73,54.51
2023-03-31,101.22,$0.60,168.7
2022-12-31,119.44,$1.53,78.07
2022-09-30,106.21,$0.57,186.33
2022-06-30,97.48,$0.11,886.18
2022-03-31,93.75,$0.72,130.21
2021-12-31,85.17,$0.91,93.59
2021-09-30,95.91,$4.57,20.99
2021-06-30,97.32,$3.72,26.16
2021-03-31,97.25,$4.10,23.72
2020-12-31,95.85,$4.16,23.04
2020-09-30,96.16,$0.93,103.4
2020-06-30,122.0,$2.11,57.82
2020-03-31,86.55,$1.84,47.04
2019-12-31,107.49,$0.33,325.73
2019-09-30,90.11,$0.17,530.06
2019-06-30,84.43,$0.13,649.46
2019-03-31,88.1,$-0.48,0.0
2018-12-31,71.41,$0.17,420.06
2018-09-30,122.95,$0.05,2459.0
2018-06-30,98.24,$-0.60,0.0
2018-03-31,82.93,$-1.21,0.0
2017-12-31,77.59,$-1.64,0.0
2017-09-30,61.28,$-2.22,0.0
2017-06-30,46.0,$-2.52,0.0
2017-03-31,43.3,$-2.30,0.0
2016-12-31,38.7,$-1.62,0.0
2016-09-30,50.64,$-1.45,0.0
2016-06-30,45.45,$-1.42,0.0
2016-03-31,39.55,$-1.24,0.0
2015-12-31,56.57,$-1.03,0.0
2015-09-30,39.79,$-0.95,0.0
2015-06-30,47.76,$-0.76,0.0
2015-03-31,39.71,$-0.66,0.0
2014-12-31,22.34,$-0.82,0.0
2014-09-30,15.67,$-0.72,0.0
2014-06-30,14.84,$-0.68,0.0
2014-03-31,16.1,$-0.68,0.0
2013-12-31,9.34,$-0.69,0.0
2013-09-30,11.32,$-0.39,0.0
2013-06-30,13.38,$-0.27,0.0
2013-03-31,12.16,$-0.10,0.0
2012-12-31,7.48,$0.07,106.86
2012-09-30,7.98,$-0.05,0.0
2012-06-30,7.9,$0.56,14.1
2012-03-31,7.97,$0.61,13.07
2011-12-31,8.5,$0.67,12.69
2011-09-30,5.98,$0.69,8.67
2011-06-30,8.05,$0.19,42.37
2011-03-31,7.59,$0.06,126.5
2010-12-31,7.64,$-0.18,0.0
2010-09-30,6.06,$-0.42,0.0
2010-06-30,5.6,$-0.69,0.0
2010-03-31,2.55,$-0.99,0.0
2009-12-31,2.72,$-1.31,0.0
