Akero Therapeutics PE Ratio Historical Data,Akero Therapeutics PE Ratio Historical Data,Akero Therapeutics PE Ratio Historical Data,Akero Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.82,,0.0
2024-06-30,23.46,$-3.25,0.0
2024-03-31,25.26,$-2.93,0.0
2023-12-31,23.35,$-2.95,0.0
2023-03-31,38.26,$-2.73,0.0
2022-12-31,54.8,$-2.92,0.0
2022-09-30,34.05,$-3.36,0.0
2022-06-30,9.45,$-2.87,0.0
2022-03-31,14.19,$-2.96,0.0
2021-12-31,21.15,$-2.85,0.0
2021-03-31,29.01,$-2.49,0.0
2020-12-31,25.8,$-2.48,0.0
2020-09-30,30.79,$-2.17,0.0
2020-06-30,24.92,$-2.14,0.0
2020-03-31,21.2,$-2.27,0.0
2019-12-31,22.2,$-2.68,0.0
2023-06-30,46.69,$-2.69,0.0
2021-09-30,22.35,$-4.30,0.0
2021-06-30,24.81,$-4.31,0.0
