SolarWinds PE Ratio Historical Data,SolarWinds PE Ratio Historical Data,SolarWinds PE Ratio Historical Data,SolarWinds PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.06,,100.46
2024-06-30,12.05,$0.13,92.69
2024-03-31,11.6,$0.07,165.65
2023-12-31,11.48,$-0.05,0.0
2023-09-30,8.67,$-0.11,0.0
2023-06-30,9.43,$-1.90,0.0
2023-03-31,7.9,$-5.77,0.0
2022-12-31,8.6,$-5.77,0.0
2022-09-30,7.12,$-5.86,0.0
2022-06-30,9.42,$-4.11,0.0
2022-03-31,12.23,$-0.31,0.0
2021-12-31,13.04,$-0.32,0.0
2021-09-30,15.37,$0.67,22.94
2021-06-30,28.78,$0.81,35.53
2021-03-31,29.71,$0.96,30.95
2020-12-31,25.47,$1.00,25.47
2020-09-30,34.66,$0.24,144.4
2020-06-30,30.11,$0.18,167.26
2020-03-31,26.7,$0.08,333.73
2019-12-31,31.61,$0.10,316.05
2019-09-30,31.43,$5.22,6.02
