Federal Agricultural Mortgage PE Ratio Historical Data,Federal Agricultural Mortgage PE Ratio Historical Data,Federal Agricultural Mortgage PE Ratio Historical Data,Federal Agricultural Mortgage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,190.0,,11.6
2024-06-30,179.47,$16.38,10.96
2024-03-31,193.81,$16.40,11.82
2023-12-31,186.83,$15.81,11.82
2023-09-30,149.85,$15.44,9.71
2023-06-30,138.67,$13.93,9.96
2023-03-31,127.56,$13.83,9.22
2022-12-31,107.01,$13.91,7.69
2022-09-30,93.37,$13.30,7.02
2022-06-30,91.13,$12.36,7.37
2022-03-31,100.2,$11.11,9.02
2021-12-31,113.63,$9.92,11.45
2021-09-30,98.76,$9.90,9.98
2021-06-30,89.2,$9.39,9.5
2021-03-31,90.06,$9.98,9.02
2020-12-31,65.81,$8.27,7.96
2020-09-30,55.84,$8.24,6.78
2020-06-30,55.48,$7.84,7.08
2020-03-31,47.64,$7.53,6.33
2019-12-31,70.5,$8.69,8.11
2019-09-30,68.36,$7.81,8.75
2019-06-30,60.34,$8.94,6.75
2019-03-31,59.56,$8.76,6.8
2018-12-31,49.26,$8.83,5.58
2018-09-30,58.24,$8.56,6.8
2018-06-30,71.67,$7.81,9.18
2018-03-31,69.25,$6.98,9.92
2017-12-31,61.86,$6.61,9.36
2017-09-30,57.23,$7.44,7.69
2017-06-30,50.62,$7.27,6.96
2017-03-31,44.8,$6.78,6.61
2016-12-31,44.3,$6.40,6.92
2016-09-30,30.42,$4.76,6.39
2016-06-30,26.63,$5.16,5.16
2015-12-31,23.81,$4.19,5.68
2015-09-30,19.45,$3.34,5.82
2015-06-30,21.67,$3.54,6.12
2015-03-31,20.91,$2.62,7.98
2014-12-31,22.39,$4.24,5.28
2016-03-31,28.65,$3.81,7.52
2014-09-30,23.61,$3.98,5.93
2014-06-30,22.73,$4.33,5.25
2014-03-31,24.21,$5.03,4.81
2013-12-31,24.83,$6.41,3.87
2013-09-30,24.11,$6.17,3.91
2013-06-30,20.79,$6.29,3.3
2013-03-31,22.07,$3.40,6.49
2012-12-31,23.21,$3.99,5.82
2012-09-30,18.32,$4.35,4.21
2012-06-30,18.6,$0.64,29.06
2012-03-31,16.03,$1.55,10.34
2011-12-31,12.67,$1.23,10.3
2011-09-30,13.34,$1.16,11.5
2011-06-30,15.47,$3.94,3.93
2011-03-31,13.33,$3.61,3.69
2010-12-31,11.32,$2.06,5.5
2010-09-30,7.48,$1.43,5.23
2010-06-30,9.66,$2.61,3.7
2010-03-31,7.77,$4.93,1.58
2009-12-31,4.76,$8.07,0.59
