Atlantic Union Bankshares PE Ratio Historical Data,Atlantic Union Bankshares PE Ratio Historical Data,Atlantic Union Bankshares PE Ratio Historical Data,Atlantic Union Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,39.55,,17.42
2024-06-30,32.57,$2.27,14.35
2024-03-31,34.66,$2.72,12.74
2023-12-31,35.52,$3.00,11.84
2023-09-30,27.68,$3.02,9.17
2023-06-30,24.73,$3.13,7.9
2022-12-31,32.84,$2.97,11.06
2022-09-30,28.14,$2.66,10.58
2022-06-30,31.15,$2.86,10.89
2022-03-31,33.41,$3.12,10.71
2021-12-31,33.72,$3.25,10.38
2021-09-30,33.07,$3.38,9.79
2021-06-30,32.27,$3.18,10.15
2021-03-31,33.95,$2.57,13.21
2020-12-31,28.95,$2.29,12.64
2020-09-30,18.62,$1.66,11.22
2023-03-31,33.01,$1.61,20.5
2020-06-30,19.96,$1.82,10.97
2020-03-31,18.64,$2.02,9.23
2019-12-31,31.73,$2.40,13.22
2019-09-30,31.27,$2.38,13.14
2019-06-30,29.46,$2.31,12.76
2019-03-31,26.79,$2.44,10.98
2018-12-31,23.23,$2.22,10.46
2018-09-30,31.5,$1.90,16.58
2018-06-30,31.61,$1.79,17.66
2018-03-31,29.69,$1.48,20.06
2017-12-31,29.08,$1.67,17.42
2017-09-30,28.21,$1.80,15.67
2017-06-30,26.92,$1.80,14.95
2017-03-31,27.77,$1.83,15.17
2016-12-31,28.05,$1.77,15.85
2016-09-30,20.87,$1.69,12.35
2016-06-30,19.13,$1.62,11.81
2016-03-31,18.93,$1.52,12.45
2015-12-31,19.22,$1.49,12.9
2015-09-30,18.15,$1.42,12.78
2015-06-30,17.45,$1.35,12.93
2015-03-31,16.55,$1.33,12.44
2014-12-31,17.82,$1.15,15.49
2014-09-30,16.98,$1.14,14.9
2014-06-30,18.74,$1.13,16.58
2014-03-31,18.47,$1.17,15.78
2013-12-31,17.92,$1.37,13.08
2013-09-30,16.79,$1.42,11.82
2013-03-31,13.87,$1.42,9.77
2012-12-31,11.1,$1.37,8.1
2012-09-30,10.86,$1.28,8.49
2012-06-30,10.02,$1.29,7.77
2012-03-31,9.65,$1.30,7.43
2011-12-31,9.12,$1.23,7.41
2013-06-30,14.7,$1.17,12.56
2011-09-30,7.31,$0.94,7.78
2011-06-30,8.26,$0.90,9.17
2011-03-31,7.58,$0.98,7.74
2010-12-31,9.9,$0.82,12.08
2010-09-30,8.7,$0.69,12.61
2010-06-30,8.13,$0.53,15.34
2010-03-31,9.98,$0.22,45.36
2009-12-31,8.15,$0.23,35.44
