PBF Energy PE Ratio Historical Data,PBF Energy PE Ratio Historical Data,PBF Energy PE Ratio Historical Data,PBF Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.62,,5.59
2024-06-30,45.71,$6.01,7.61
2024-03-31,56.89,$14.45,3.94
2023-12-31,43.2,$16.45,2.63
2023-09-30,52.32,$21.71,2.41
2023-06-30,39.84,$24.00,1.66
2023-03-31,41.96,$25.77,1.63
2022-12-31,39.29,$22.73,1.73
2022-09-30,33.73,$19.23,1.75
2022-06-30,27.84,$11.32,2.46
2022-03-31,23.38,$2.06,11.35
2021-12-31,12.44,$1.90,6.55
2021-09-30,12.44,$-1.93,0.0
2021-06-30,14.68,$-5.91,0.0
2021-03-31,13.57,$-3.07,0.0
2020-12-31,6.81,$-2.29,0.0
2020-09-30,5.46,$0.75,7.28
2020-06-30,9.82,$3.97,2.47
2019-12-31,29.73,$2.63,11.31
2019-09-30,25.54,$-0.78,0.0
2019-06-30,29.0,$-10.28,0.0
2019-03-31,28.56,$-8.51,0.0
2018-12-31,29.68,$-8.03,0.0
2020-03-31,6.79,$-4.79,0.0
2018-09-30,45.0,$6.28,7.17
2018-06-30,37.56,$7.63,4.92
2018-03-31,30.16,$4.25,7.1
2017-12-31,31.23,$3.69,8.46
2017-09-30,24.09,$2.09,11.53
2017-06-30,19.15,$-0.33,0.0
2017-03-31,18.82,$1.74,10.82
2016-12-31,23.38,$1.73,13.51
2016-09-30,18.74,$-0.05,0.0
2016-06-30,19.42,$0.01,1942.47
2016-03-31,26.85,$0.52,51.63
2015-12-31,29.43,$1.82,16.17
2015-09-30,22.38,$-0.28,0.0
2015-06-30,22.32,$0.83,26.89
2015-03-31,26.34,$-0.45,0.0
2014-12-31,20.49,$-0.03,0.0
2014-09-30,18.25,$3.63,5.03
2014-06-30,20.02,$1.53,13.09
2014-03-31,19.2,$1.97,9.74
2013-12-31,23.13,$1.03,22.46
2013-09-30,16.33,$0.79,20.67
