Spectrum Brands Holdings PE Ratio Historical Data,Spectrum Brands Holdings PE Ratio Historical Data,Spectrum Brands Holdings PE Ratio Historical Data,Spectrum Brands Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,91.67,,25.9
2024-06-30,85.54,$3.54,24.16
2024-03-31,88.21,$49.40,1.79
2023-12-31,78.66,$46.08,1.71
2023-09-30,76.78,$44.72,1.72
2023-06-30,76.1,$44.61,1.71
2023-03-31,64.2,$-0.66,0.0
2022-12-31,58.67,$1.04,56.41
2022-09-30,37.27,$1.75,21.3
2022-06-30,77.83,$2.55,30.52
2022-03-31,83.78,$2.47,33.92
2021-12-31,95.61,$2.93,32.63
2021-09-30,89.57,$4.41,20.31
2021-06-30,79.2,$4.30,18.42
2021-03-31,78.79,$6.94,11.35
2020-12-31,72.84,$4.83,15.08
2020-09-30,52.38,$2.40,21.83
2020-06-30,41.77,$-1.16,0.0
2020-03-31,32.73,$-5.05,0.0
2019-12-31,57.45,$10.28,5.59
2019-09-30,46.79,$8.92,5.25
2019-06-30,47.34,$9.12,5.19
2019-03-31,47.91,$21.16,2.26
2018-12-31,36.66,$5.97,6.14
2018-09-30,64.31,$23.65,2.72
2018-06-30,69.53,$25.15,2.76
2018-03-31,87.59,$13.70,6.39
2017-12-31,90.03,$12.28,7.33
2017-09-30,82.92,$3.29,25.23
2017-06-30,94.07,$3.84,24.47
2017-03-31,102.62,$-0.31,0.0
2016-12-31,82.65,$1.12,74.07
2016-09-30,83.39,$-6.51,0.0
2016-06-30,72.93,$-10.79,0.0
2016-03-31,73.99,$-9.05,0.0
2015-12-31,72.03,$-15.13,0.0
2015-09-30,62.31,$-17.55,0.0
2015-06-30,69.05,$-13.21,0.0
2015-03-31,66.29,$-9.11,0.0
2014-12-31,75.21,$-5.83,0.0
2014-09-30,69.69,$-4.09,0.0
2014-06-30,67.46,$-12.90,0.0
2014-03-31,64.96,$-11.84,0.0
2013-12-31,62.94,$-9.98,0.0
2013-09-30,55.08,$-8.06,0.0
2013-06-30,40.05,$5.77,6.95
2013-03-31,43.88,$-3.66,0.0
2012-12-31,40.85,$-1.74,0.0
2012-09-30,44.78,$-1.55,0.0
2012-06-30,41.38,$-11.16,0.0
2012-03-31,27.51,$1.86,14.79
2011-12-31,21.3,$-0.81,0.0
2011-09-30,26.93,$-1.18,0.0
2011-06-30,32.45,$1.12,29.08
2011-03-31,27.67,$-6.26,0.0
2010-12-31,32.88,$-4.34,0.0
2010-09-30,29.48,$-4.34,0.0
2010-06-30,33.36,$-1.98,0.0
2010-03-31,35.96,$-1.12,0.0
2009-12-31,37.29,$-0.50,0.0
