ACM Research PE Ratio Historical Data,ACM Research PE Ratio Historical Data,ACM Research PE Ratio Historical Data,ACM Research PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.01,,15.08
2024-06-30,23.06,$1.26,18.3
2024-03-31,29.14,$1.32,22.08
2023-12-31,19.54,$1.17,16.7
2023-09-30,18.11,$1.09,16.61
2023-06-30,13.08,$1.02,12.82
2023-03-31,11.7,$0.79,14.81
2022-12-31,7.71,$0.59,13.07
2022-09-30,12.46,$0.64,19.37
2022-06-30,16.83,$0.48,35.31
2022-03-31,20.69,$0.40,52.17
2021-12-31,28.42,$0.62,46.1
2021-09-30,36.67,$0.52,70.98
2021-06-30,34.07,$0.36,93.79
2020-12-31,27.08,$0.29,93.39
2020-09-30,23.03,$0.22,103.15
2020-06-30,20.79,$0.17,119.95
2020-03-31,9.87,$0.32,30.53
2019-12-31,6.15,$0.37,16.47
2021-03-31,26.93,$0.34,78.44
2019-09-30,4.62,$0.30,15.23
2019-06-30,5.2,$0.22,23.3
2019-03-31,5.14,$0.21,24.89
2018-12-31,3.63,$0.11,32.01
2018-09-30,3.69,$0.15,25.15
