Grupo Financiero Galicia S.A PE Ratio Historical Data,Grupo Financiero Galicia S.A PE Ratio Historical Data,Grupo Financiero Galicia S.A PE Ratio Historical Data,Grupo Financiero Galicia S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.82,,inf
2024-06-30,29.25,0,0.0
2024-03-31,23.61,0,0.0
2023-03-31,9.47,$0.66,14.34
2022-12-31,8.34,$2.29,3.64
2022-03-31,8.85,$3.13,2.83
2021-09-30,8.25,$4.08,2.02
2019-03-31,20.28,$4.27,4.75
2018-12-31,21.91,$3.71,5.91
2018-09-30,20.21,$3.86,5.24
2018-06-30,26.21,$3.73,7.03
2018-03-31,51.86,$3.63,14.29
2017-09-30,40.65,$3.28,12.39
2017-06-30,33.63,$3.33,10.1
2016-06-30,24.02,$3.49,6.88
2016-03-31,22.19,$3.56,6.23
2015-12-31,21.23,$3.69,5.75
2015-09-30,13.97,$3.49,4.0
2015-06-30,14.73,$3.38,4.36
2015-03-31,18.1,$3.22,5.62
2014-12-31,12.42,$3.29,3.78
2014-09-30,11.11,$3.18,3.49
2014-06-30,11.45,$2.87,3.99
2013-12-31,8.15,$2.69,3.03
2013-09-30,7.41,$2.36,3.14
2013-06-30,4.0,$2.21,1.81
2013-03-31,4.26,$2.24,1.9
2012-12-31,5.13,$2.28,2.25
2012-09-30,4.48,$2.29,1.96
2012-06-30,3.6,$2.24,1.61
2012-03-31,4.95,$2.15,2.3
2011-12-31,4.56,$2.09,2.18
2011-09-30,6.37,$1.88,3.39
2011-06-30,10.42,$1.65,6.31
2011-03-31,9.53,$1.25,7.62
2010-12-31,11.74,$0.89,13.19
2010-09-30,7.65,$0.61,12.54
2010-06-30,4.37,$0.53,8.25
2010-03-31,4.56,$1.22,3.74
2009-12-31,4.42,$1.42,3.11
2009-09-30,3.61,$2.05,1.76
2014-03-31,9.6,$1.83,5.24
2009-06-30,2.52,$1.04,2.43
