Getty Realty PE Ratio Historical Data,Getty Realty PE Ratio Historical Data,Getty Realty PE Ratio Historical Data,Getty Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.66,,26.17
2024-06-30,26.29,$1.21,21.72
2024-03-31,26.51,$1.17,22.66
2023-12-31,27.86,$1.15,24.22
2023-09-30,26.04,$1.42,18.34
2023-06-30,31.27,$1.38,22.66
2023-03-31,32.89,$1.76,18.69
2022-12-31,30.51,$1.87,16.31
2022-09-30,23.94,$1.68,14.25
2022-06-30,23.26,$1.71,13.6
2022-03-31,24.73,$1.47,16.82
2021-12-31,27.32,$1.85,14.77
2021-09-30,24.63,$1.74,14.16
2021-03-31,23.2,$1.70,13.65
2020-12-31,22.26,$1.60,13.91
2020-09-30,20.73,$1.16,17.87
2020-06-30,23.31,$1.17,19.92
2020-03-31,18.41,$1.19,15.47
2019-12-31,25.07,$1.21,20.72
2021-06-30,25.84,$1.15,22.47
2019-09-30,24.17,$1.19,20.31
2019-06-30,22.94,$1.18,19.44
2019-03-31,23.63,$1.19,19.86
2018-12-31,21.46,$1.17,18.34
2018-09-30,20.6,$1.18,17.46
2018-06-30,20.09,$1.15,17.47
2018-03-31,17.77,$1.25,14.22
2017-12-31,18.89,$1.28,14.76
2017-09-30,19.66,$1.19,16.52
2017-06-30,17.08,$1.21,14.12
2017-03-31,17.01,$1.18,14.41
2016-12-31,16.96,$1.13,15.01
2016-09-30,15.75,$1.48,10.64
2016-06-30,13.97,$1.43,9.77
2016-03-31,12.76,$1.37,9.32
2015-12-31,10.9,$1.10,9.91
2015-09-30,9.77,$0.41,23.83
2015-06-30,9.97,$0.50,19.93
2015-03-31,10.94,$0.36,30.4
2014-12-31,10.82,$0.69,15.68
2014-09-30,9.91,$0.94,10.54
2014-06-30,10.99,$1.89,5.82
2014-03-31,10.77,$2.07,5.2
2013-12-31,10.36,$2.09,4.96
2013-09-30,10.81,$2.11,5.12
2013-06-30,11.38,$0.76,14.97
2013-03-31,11.02,$0.49,22.5
2012-12-31,9.75,$0.37,26.36
2012-09-30,9.63,$-0.38,0.0
2012-06-30,10.2,$-0.12,0.0
2012-03-31,8.24,$0.23,35.83
2011-12-31,7.38,$0.39,18.92
2011-09-30,7.48,$1.39,5.38
2011-06-30,12.87,$1.68,7.66
2011-03-31,11.45,$1.73,6.62
2010-12-31,15.33,$1.86,8.24
2010-09-30,12.95,$1.90,6.82
2010-06-30,10.62,$1.94,5.48
2010-03-31,10.86,$1.98,5.49
2009-12-31,10.71,$1.90,5.64
