FormFactor PE Ratio Historical Data,FormFactor PE Ratio Historical Data,FormFactor PE Ratio Historical Data,FormFactor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.15,,28.3
2024-06-30,60.53,$1.56,38.8
2024-03-31,45.63,$1.32,34.57
2023-12-31,41.71,$1.06,39.35
2023-09-30,34.94,$-0.09,0.0
2023-06-30,34.22,$-0.09,0.0
2023-03-31,31.85,$0.28,113.75
2022-12-31,22.23,$0.64,34.73
2022-09-30,25.05,$1.15,21.78
2022-06-30,38.73,$1.35,28.69
2022-03-31,42.03,$1.20,35.03
2021-12-31,45.72,$1.07,42.73
2021-09-30,37.33,$0.98,38.09
2021-06-30,36.46,$1.01,36.1
2021-03-31,45.11,$1.04,43.38
2020-12-31,43.02,$0.99,43.45
2020-09-30,24.93,$0.99,25.18
2020-06-30,29.33,$0.81,36.21
2020-03-31,20.09,$0.64,31.39
2019-12-31,25.97,$0.51,50.92
2019-09-30,18.65,$1.40,13.32
2019-06-30,15.67,$1.39,11.27
2019-03-31,16.09,$1.42,11.33
2018-12-31,14.09,$1.38,10.21
2018-09-30,13.75,$0.32,42.97
2018-06-30,13.3,$0.39,34.1
2018-03-31,13.65,$0.51,26.76
2017-12-31,15.65,$0.55,28.45
2017-09-30,16.85,$0.26,64.81
2017-06-30,12.4,$-0.11,0.0
2017-03-31,11.85,$0.26,45.58
2016-12-31,11.2,$-0.05,0.0
2016-09-30,10.85,$0.16,67.81
2016-06-30,8.99,$0.32,28.09
2016-03-31,7.27,$-0.28,0.0
2015-12-31,9.0,$-0.03,0.0
2015-09-30,6.78,$-0.05,0.0
2015-06-30,9.2,$-0.01,0.0
2015-03-31,8.87,$-0.10,0.0
2014-12-31,8.6,$-0.34,0.0
2014-09-30,7.17,$-0.65,0.0
2014-06-30,8.32,$-0.85,0.0
2014-03-31,6.39,$-0.93,0.0
2013-12-31,6.01,$-1.07,0.0
2013-09-30,6.86,$-0.72,0.0
2013-06-30,6.75,$-0.81,0.0
2013-03-31,4.7,$-0.73,0.0
2012-12-31,4.56,$-0.71,0.0
2012-09-30,5.59,$-1.26,0.0
2012-06-30,6.47,$-1.17,0.0
2012-03-31,5.58,$-1.22,0.0
2011-12-31,5.06,$-1.29,0.0
2011-09-30,6.23,$-1.15,0.0
2011-06-30,9.06,$-2.85,0.0
2011-03-31,10.29,$-3.40,0.0
2010-12-31,8.88,$-3.75,0.0
2010-09-30,8.6,$-3.91,0.0
2010-06-30,10.8,$-2.49,0.0
2010-03-31,17.76,$-3.14,0.0
2009-12-31,21.77,$-3.14,0.0
