NewJersey Resources PE Ratio Historical Data,NewJersey Resources PE Ratio Historical Data,NewJersey Resources PE Ratio Historical Data,NewJersey Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.01,,19.67
2024-06-30,42.34,$2.39,17.71
2024-03-31,42.09,$2.53,16.64
2023-12-31,43.3,$2.44,17.75
2023-09-30,39.09,$2.72,14.37
2023-06-30,44.97,$2.90,15.51
2023-03-31,50.28,$3.02,16.65
2022-12-31,46.54,$2.89,16.1
2022-09-30,36.02,$2.86,12.59
2022-06-30,41.07,$2.29,17.93
2022-03-31,41.94,$0.99,42.36
2021-12-31,37.24,$1.54,24.18
2021-09-30,31.28,$1.22,25.64
2021-06-30,35.19,$1.68,20.95
2021-03-31,35.19,$2.56,13.75
2020-12-31,31.13,$1.93,16.13
2020-09-30,23.44,$2.06,11.38
2020-06-30,27.98,$1.81,15.46
2020-03-31,28.83,$2.00,14.41
2019-12-31,37.39,$1.90,19.68
2019-09-30,37.67,$1.90,19.83
2019-06-30,41.17,$1.52,27.09
2019-03-31,40.95,$1.45,28.24
2018-12-31,37.34,$2.22,16.82
2018-09-30,37.48,$2.67,14.04
2018-06-30,36.15,$2.43,14.88
2018-03-31,32.18,$2.81,11.45
2017-12-31,32.04,$2.54,12.61
2017-09-30,33.37,$1.52,21.95
2017-06-30,31.23,$2.23,14.0
2017-03-31,30.96,$1.81,17.11
2016-12-31,27.57,$1.33,20.73
2016-09-30,25.34,$1.49,17.01
2016-06-30,29.52,$1.25,23.61
2016-03-31,27.71,$1.36,20.38
2015-12-31,24.9,$1.23,20.24
2015-09-30,22.49,$2.11,10.66
2015-06-30,20.46,$1.77,11.56
2015-03-31,22.88,$1.69,13.54
2014-12-31,22.37,$3.02,7.42
2014-09-30,18.32,$1.67,11.01
2014-06-30,20.55,$1.72,11.98
2014-03-31,17.77,$2.24,7.95
2013-12-31,16.35,$0.74,22.1
2013-09-30,15.43,$1.37,11.26
2013-06-30,14.28,$1.51,9.49
2013-03-31,15.28,$1.03,14.83
2012-12-31,13.38,$1.15,11.68
2012-09-30,15.28,$1.12,13.71
2012-06-30,14.33,$1.13,12.69
2012-03-31,14.52,$1.50,9.68
2011-12-31,15.9,$1.62,9.84
2011-09-30,13.64,$1.22,11.18
2011-06-30,14.18,$1.33,10.66
2011-03-31,13.54,$0.96,14.11
2010-12-31,13.48,$1.08,12.48
2010-09-30,12.16,$1.41,8.65
2010-06-30,10.82,$1.16,9.32
2010-03-31,11.43,$1.12,10.25
2009-12-31,11.28,$0.64,17.62
