STAAR Surgical PE Ratio Historical Data,STAAR Surgical PE Ratio Historical Data,STAAR Surgical PE Ratio Historical Data,STAAR Surgical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.94,,91.0
2024-06-30,47.61,$0.34,140.03
2024-03-31,38.28,$0.31,123.48
2023-12-31,31.21,$0.43,72.58
2023-09-30,40.18,$0.39,103.03
2023-06-30,52.57,$0.50,105.14
2023-03-31,63.95,$0.64,99.92
2022-12-31,48.54,$0.78,62.23
2022-09-30,70.55,$0.76,92.83
2022-06-30,70.93,$0.67,105.87
2022-03-31,79.91,$0.58,137.78
2021-12-31,91.3,$0.49,186.33
2021-09-30,128.53,$0.46,279.41
2021-06-30,152.5,$0.42,363.1
2021-03-31,105.41,$0.22,479.14
2020-12-31,79.22,$0.12,660.17
2020-09-30,56.56,$0.19,297.68
2020-06-30,61.54,$0.16,384.63
2020-03-31,32.26,$0.27,119.48
2019-12-31,35.17,$0.30,117.23
2019-09-30,25.78,$0.18,143.22
2019-06-30,29.38,$0.16,183.63
2019-03-31,34.19,$0.12,284.92
2018-12-31,31.91,$0.10,319.1
2018-09-30,48.0,$0.08,600.0
2018-06-30,31.0,$0.03,1033.33
2018-03-31,14.8,$-0.06,0.0
2017-12-31,15.5,$-0.07,0.0
2017-06-30,10.8,$-0.11,0.0
2017-03-31,9.8,$-0.14,0.0
2016-12-31,10.85,$-0.29,0.0
2016-09-30,9.4,$-0.31,0.0
2016-06-30,5.51,$-0.31,0.0
2016-03-31,7.39,$-0.30,0.0
2015-12-31,7.14,$-0.16,0.0
2015-09-30,7.76,$-0.21,0.0
2015-06-30,9.66,$-0.24,0.0
2015-03-31,7.43,$-0.25,0.0
2014-12-31,9.11,$-0.23,0.0
2014-09-30,10.63,$-0.18,0.0
2014-06-30,16.8,$-0.10,0.0
2014-03-31,18.8,$-0.04,0.0
2013-12-31,16.19,$0.01,0.0
2013-09-30,13.54,$-0.01,0.0
2013-06-30,10.15,$-0.02,0.0
2013-03-31,5.63,$-0.04,0.0
2012-12-31,6.1,$-0.04,0.0
2012-09-30,7.56,0,0.0
2012-06-30,7.77,0,0.0
2012-03-31,10.83,$0.03,361.0
2011-12-31,10.49,$0.03,349.67
2011-09-30,7.8,$0.01,780.0
2011-06-30,5.3,$-0.02,0.0
2011-03-31,5.57,$-0.09,0.0
2010-12-31,6.1,$0.00,0.0
2010-09-30,5.41,$0.05,108.2
2010-06-30,5.72,$-0.19,0.0
2010-03-31,3.82,$-0.20,0.0
2017-09-30,12.45,$-0.34,0.0
2009-12-31,3.1,$-0.43,0.0
