Pentair PE Ratio Historical Data,Pentair PE Ratio Historical Data,Pentair PE Ratio Historical Data,Pentair PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,88.69,,22.45
2024-06-30,76.45,$3.95,19.35
2024-03-31,84.94,$3.76,22.59
2023-12-31,72.05,$3.53,20.41
2023-09-30,63.94,$2.98,21.46
2023-06-30,63.58,$3.11,20.44
2022-12-31,43.89,$2.89,15.19
2022-09-30,39.43,$3.21,12.28
2022-06-30,44.22,$3.30,13.4
2022-03-31,52.17,$3.24,16.1
2021-12-31,70.06,$3.33,21.04
2023-03-31,54.17,$3.21,16.88
2021-09-30,69.49,$3.03,22.93
2021-06-30,64.38,$2.83,22.75
2021-03-31,59.26,$2.47,23.99
2020-12-31,50.31,$2.13,23.62
2020-09-30,43.22,$2.10,20.58
2020-06-30,35.71,$1.99,17.94
2020-03-31,27.8,$2.23,12.47
2019-12-31,42.68,$2.10,20.32
2019-09-30,35.0,$2.05,17.08
2019-06-30,34.28,$2.13,16.1
2019-03-31,40.83,$1.69,24.16
2018-12-31,34.5,$1.96,17.6
2018-09-30,39.41,$2.47,15.96
2018-06-30,38.1,$2.52,15.12
2018-03-31,41.81,$3.72,11.24
2017-12-31,43.13,$3.63,11.88
2017-09-30,41.31,$3.30,12.52
2017-06-30,40.23,$3.39,11.87
2017-03-31,37.75,$2.74,13.78
2016-12-31,33.53,$2.76,12.15
2016-09-30,38.19,$2.68,14.25
2016-06-30,34.47,$2.72,12.67
2015-12-31,28.91,$2.56,11.29
2015-09-30,29.61,$2.75,10.77
2015-06-30,39.68,$1.17,33.91
2015-03-31,36.11,$1.18,30.6
2014-12-31,37.93,$1.15,32.99
2014-09-30,37.23,$1.24,30.02
2014-06-30,40.83,$3.04,13.43
2014-03-31,44.77,$2.97,15.07
2013-12-31,43.68,$2.63,16.61
2013-09-30,36.38,$0.54,67.38
2013-06-30,32.19,$-0.01,0.0
2013-03-31,29.31,$-0.05,0.0
2012-12-31,27.19,$-1.66,0.0
2012-09-30,24.35,$0.16,152.17
2012-06-30,20.95,$0.53,39.53
2011-12-31,18.02,$0.33,54.62
2011-09-30,17.24,$2.16,7.98
2011-06-30,21.62,$2.24,9.65
2011-03-31,20.14,$2.12,9.5
2010-12-31,19.35,$2.22,8.72
2016-03-31,31.9,$2.11,15.12
2010-09-30,17.72,$1.82,9.74
2010-06-30,16.88,$1.65,10.23
2010-03-31,18.57,$1.36,13.66
2009-12-31,16.74,$1.18,14.18
2009-09-30,15.21,$1.49,10.21
