Archrock PE Ratio Historical Data,Archrock PE Ratio Historical Data,Archrock PE Ratio Historical Data,Archrock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.11,,23.72
2024-06-30,20.04,$0.89,22.52
2024-03-31,19.34,$0.83,23.3
2023-12-31,14.98,$0.67,22.37
2023-09-30,12.13,$0.53,22.88
2023-06-30,9.75,$0.43,22.66
2023-03-31,9.15,$0.38,24.08
2022-12-31,8.28,$0.29,28.54
2022-09-30,5.82,$0.26,22.38
2022-06-30,7.35,$0.22,33.43
2022-03-31,8.07,$0.17,47.44
2021-12-31,6.42,$0.19,33.8
2021-09-30,6.97,$0.18,38.71
2021-06-30,7.39,$0.24,30.8
2021-03-31,7.76,$-0.02,0.0
2020-12-31,6.97,$-0.46,0.0
2020-09-30,4.25,$-0.19,0.0
2020-06-30,5.03,$-0.17,0.0
2020-03-31,2.83,$0.12,23.55
2019-12-31,7.42,$0.68,10.91
2019-09-30,7.26,$0.48,15.11
2019-06-30,7.6,$0.42,18.09
2019-03-31,6.91,$0.35,19.75
2018-12-31,5.22,$0.14,37.29
2018-09-30,8.4,$0.71,11.83
2018-06-30,8.18,$0.48,17.04
2018-03-31,5.9,$0.36,16.39
2017-12-31,6.99,$0.25,27.96
2017-09-30,8.26,$-0.98,0.0
2017-06-30,7.42,$-0.83,0.0
2017-03-31,7.98,$-0.73,0.0
2016-12-31,8.43,$-0.56,0.0
2016-09-30,8.26,$-1.91,0.0
