NV5 Global PE Ratio Historical Data,NV5 Global PE Ratio Historical Data,NV5 Global PE Ratio Historical Data,NV5 Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.57,,46.44
2024-06-30,23.24,$0.51,45.8
2024-03-31,24.5,$0.63,38.74
2023-12-31,27.78,$0.72,38.45
2023-09-30,24.06,$0.69,34.74
2023-06-30,27.69,$0.74,37.42
2023-03-31,25.99,$0.77,33.65
2022-12-31,33.08,$0.82,40.46
2022-09-30,30.96,$0.94,32.84
2022-06-30,29.19,$0.89,32.88
2022-03-31,33.33,$0.83,40.03
2021-12-31,34.53,$0.79,43.57
2021-09-30,24.64,$0.63,39.43
2021-06-30,23.63,$0.57,41.45
2021-03-31,24.14,$0.43,55.82
2020-12-31,19.7,$0.41,47.75
2020-09-30,13.19,$0.40,33.4
2020-06-30,12.71,$0.36,35.55
2020-03-31,10.32,$0.44,23.33
2019-12-31,12.61,$0.47,26.84
2019-09-30,17.07,$0.56,30.75
2019-06-30,20.35,$0.60,34.2
2019-03-31,14.84,$0.59,25.05
2018-12-31,15.14,$0.58,26.1
2018-09-30,21.68,$0.69,31.41
2018-06-30,17.33,$0.67,25.76
2018-03-31,13.94,$0.60,23.23
2017-12-31,13.54,$0.56,24.39
2017-09-30,13.66,$0.37,37.18
2017-06-30,10.63,$0.31,34.0
2017-03-31,9.4,$0.29,32.41
2016-12-31,8.35,$0.30,27.83
2016-09-30,8.08,$0.31,26.48
2016-06-30,7.11,$0.32,22.39
2016-03-31,6.71,$0.30,22.17
2015-12-31,5.5,$0.29,19.28
2015-09-30,4.64,$0.27,17.51
2015-06-30,6.07,$0.25,24.51
2015-03-31,4.09,$0.23,17.59
2014-12-31,3.25,$0.22,14.77
2014-09-30,2.37,$0.18,13.57
2014-06-30,2.46,$0.16,15.89
