Sirius XM Holdings PE Ratio Historical Data,Sirius XM Holdings PE Ratio Historical Data,Sirius XM Holdings PE Ratio Historical Data,Sirius XM Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.1,,8.21
2024-06-30,2.81,$3.30,0.85
2024-03-31,3.81,$3.30,1.16
2023-12-31,5.35,$3.20,1.67
2023-09-30,4.4,$3.20,1.37
2023-06-30,4.38,$2.90,1.51
2023-03-31,3.82,$2.80,1.36
2022-12-31,5.59,$3.00,1.86
2022-09-30,5.44,$2.90,1.88
2022-06-30,5.82,$3.10,1.88
2022-03-31,6.26,$3.40,1.84
2021-12-31,5.76,$3.10,1.86
2021-09-30,5.52,$0.70,7.88
2021-06-30,5.9,$0.50,11.8
2021-03-31,5.48,0,0.0
2020-12-31,5.72,$0.20,28.59
2020-09-30,4.8,$2.30,2.09
2020-06-30,5.25,$2.20,2.38
2020-03-31,4.4,$2.30,1.91
2019-12-31,6.36,$1.90,3.35
2019-09-30,5.55,$2.00,2.78
2019-06-30,4.95,$2.20,2.25
2019-03-31,5.01,$2.20,2.28
2018-12-31,5.04,$2.50,2.02
2018-09-30,5.57,$1.80,3.09
2018-06-30,5.95,$1.70,3.5
2018-03-31,5.48,$1.50,3.65
2017-12-31,4.7,$1.30,3.61
2017-09-30,4.83,$1.80,2.68
2017-06-30,4.78,$1.60,2.99
2017-03-31,4.49,$1.50,2.99
2016-12-31,3.87,$1.40,2.76
2016-09-30,3.62,$1.30,2.78
2016-06-30,3.43,$1.20,2.86
2016-03-31,3.43,$1.10,3.12
2015-12-31,3.53,$1.00,3.53
2015-09-30,3.24,$1.00,3.24
2015-06-30,3.24,$0.90,3.6
2015-03-31,3.31,$0.90,3.68
2014-12-31,3.04,$0.90,3.37
2014-09-30,3.03,$0.70,4.33
2014-06-30,3.0,$0.60,5.0
2014-03-31,2.78,$0.60,4.63
2013-12-31,3.03,$0.60,5.05
2013-09-30,3.36,$0.70,4.8
2013-06-30,2.91,$0.70,4.15
2013-03-31,2.67,$5.30,0.5
2012-12-31,2.51,$5.30,0.47
2012-09-30,2.21,$5.20,0.42
2012-06-30,1.58,$5.30,0.3
2012-03-31,1.97,$0.80,2.46
2011-12-31,1.55,$0.70,2.22
2011-09-30,1.29,$0.40,3.22
2011-06-30,1.87,$0.30,6.23
2011-03-31,1.41,0,0.0
2010-12-31,1.39,0,0.0
2010-09-30,1.02,$0.20,5.12
2010-06-30,0.81,$-0.30,0.0
2010-03-31,0.74,$-0.70,0.0
2009-12-31,0.51,$-1.50,0.0
