Tyler Technologies PE Ratio Historical Data,Tyler Technologies PE Ratio Historical Data,Tyler Technologies PE Ratio Historical Data,Tyler Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,587.87,,121.46
2024-06-30,502.78,$4.84,103.88
2024-03-31,425.01,$4.42,96.16
2023-12-31,418.12,$3.89,107.49
2023-09-30,386.14,$3.71,104.08
2023-06-30,416.47,$3.87,107.61
2023-03-31,354.64,$3.66,96.9
2022-12-31,322.41,$3.87,83.31
2022-09-30,347.5,$4.43,78.44
2022-06-30,332.48,$4.21,78.97
2022-03-31,444.89,$3.88,114.66
2021-12-31,537.95,$3.82,140.82
2021-09-30,458.65,$3.82,120.07
2021-06-30,452.37,$3.72,121.6
2021-03-31,424.53,$4.41,96.27
2020-12-31,436.52,$4.69,93.07
2020-09-30,348.56,$4.55,76.61
2020-06-30,346.88,$4.61,75.25
2020-03-31,296.56,$4.11,72.16
2019-12-31,300.02,$3.64,82.42
2019-09-30,262.5,$3.28,80.03
2019-06-30,216.02,$3.24,66.67
2019-03-31,204.4,$3.41,59.94
2018-12-31,185.82,$3.67,50.63
2018-09-30,245.06,$4.44,55.19
2018-06-30,222.1,$4.45,49.91
2018-03-31,210.96,$4.29,49.17
2017-12-31,177.05,$4.17,42.46
2017-09-30,174.32,$3.41,51.12
2017-06-30,175.67,$3.02,58.17
2017-03-31,154.56,$2.70,57.24
2016-12-31,142.77,$2.31,61.81
2016-09-30,171.23,$1.74,98.41
2016-06-30,166.71,$1.71,97.49
2016-03-31,128.61,$1.74,73.91
2015-12-31,174.32,$1.78,97.93
2015-09-30,149.31,$1.98,75.41
2015-06-30,129.38,$1.91,67.74
2015-03-31,120.53,$1.81,66.59
2014-12-31,109.44,$1.66,65.93
2014-09-30,88.4,$1.53,57.78
2014-06-30,91.21,$1.37,66.58
2014-03-31,83.68,$1.21,69.16
2013-12-31,102.13,$1.13,90.38
2013-09-30,87.47,$1.11,78.8
2013-06-30,68.55,$1.12,61.21
2013-03-31,61.26,$1.08,56.72
2012-12-31,48.44,$1.00,48.44
2012-09-30,44.02,$0.99,44.46
2012-06-30,40.35,$0.89,45.34
2012-03-31,38.41,$0.84,45.73
2011-12-31,30.11,$0.84,35.85
2011-09-30,25.28,$0.78,32.41
2011-06-30,26.78,$0.74,36.19
2011-03-31,23.71,$0.74,32.04
2010-12-31,20.76,$0.70,29.66
2010-09-30,20.16,$0.67,30.09
2010-06-30,15.52,$0.68,22.82
2010-03-31,18.74,$0.70,26.77
2009-12-31,19.91,$0.73,27.27
