"Grupo Simec, S.A De C.V PE Ratio Historical Data","Grupo Simec, S.A De C.V PE Ratio Historical Data","Grupo Simec, S.A De C.V PE Ratio Historical Data","Grupo Simec, S.A De C.V PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.27,,9.44
2024-06-30,30.4,$2.89,10.52
2024-03-31,32.25,$1.83,17.62
2023-09-30,32.25,$1.49,21.64
2023-06-30,35.0,$1.43,24.48
2023-03-31,34.81,$2.17,16.04
2022-12-31,33.8,$2.57,13.15
2022-09-30,29.45,$2.95,9.98
2022-06-30,30.3,$3.37,8.99
2022-03-31,29.3,$3.00,9.77
2021-12-31,27.0,$3.05,8.85
2021-09-30,24.04,$2.76,8.71
2021-06-30,28.81,$1.90,15.16
2021-03-31,11.75,$0.37,31.76
2020-09-30,7.02,$-0.16,0.0
2020-06-30,6.15,$-0.31,0.0
2019-12-31,9.0,$-0.14,0.0
2019-09-30,8.24,$1.12,7.36
2019-06-30,7.18,$1.08,6.65
2019-03-31,7.61,$1.21,6.29
2018-09-30,8.0,$1.10,7.27
2018-06-30,8.4,$0.23,36.53
2017-09-30,9.09,$0.02,454.66
2017-06-30,9.5,$0.38,25.0
2016-12-31,12.71,$0.18,70.6
2016-09-30,8.2,$0.61,13.44
2016-06-30,6.63,$0.50,13.26
2016-03-31,7.22,$0.05,144.32
2015-12-31,5.92,$0.22,26.89
2015-09-30,6.53,$0.36,18.14
2015-06-30,7.72,$0.68,11.35
2015-03-31,7.21,$0.71,10.15
2014-12-31,8.75,$0.69,12.68
2014-09-30,11.82,$0.62,19.06
2014-06-30,12.35,$0.65,19.0
2014-03-31,10.12,$0.72,14.06
2013-12-31,10.86,$0.72,15.08
2013-09-30,10.56,$0.68,15.53
2013-06-30,11.94,$0.70,17.05
2013-03-31,12.59,$0.91,13.84
2012-12-31,12.66,$1.10,11.51
2012-09-30,10.7,$2.29,4.67
2012-06-30,8.36,$2.76,3.03
2012-03-31,8.3,$2.76,3.01
2011-12-31,6.29,$3.07,2.05
2011-09-30,5.42,$1.99,2.72
2011-06-30,6.68,$1.31,5.1
2011-03-31,7.53,$1.03,7.31
2010-12-31,6.93,$1.01,6.86
2010-09-30,6.45,$1.46,4.41
2010-06-30,6.37,$1.53,4.16
2010-03-31,7.66,$1.75,4.38
2009-12-31,7.44,$1.87,3.98
