Exact Sciences PE Ratio Historical Data,Exact Sciences PE Ratio Historical Data,Exact Sciences PE Ratio Historical Data,Exact Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,69.23,,0.0
2024-06-30,42.25,$-0.96,0.0
2024-03-31,69.06,$-1.32,0.0
2023-12-31,73.98,$-1.14,0.0
2023-09-30,68.22,$-1.59,0.0
2023-06-30,93.9,$-2.43,0.0
2023-03-31,67.81,$-2.92,0.0
2022-12-31,49.51,$-3.54,0.0
2022-09-30,32.49,$-4.10,0.0
2022-06-30,39.39,$-4.23,0.0
2022-03-31,69.92,$-4.32,0.0
2021-12-31,77.83,$-3.46,0.0
2021-09-30,95.45,$-4.97,0.0
2021-06-30,124.31,$-5.46,0.0
2021-03-31,131.78,$-5.01,0.0
2020-12-31,132.49,$-5.54,0.0
2020-09-30,101.95,$-2.21,0.0
2020-06-30,86.94,$-1.06,0.0
2020-03-31,58.0,$-0.78,0.0
2019-12-31,92.48,$-0.73,0.0
2019-09-30,90.37,$-1.71,0.0
2019-06-30,118.04,$-1.77,0.0
2019-03-31,86.62,$-1.77,0.0
2018-12-31,63.1,$-1.44,0.0
2018-09-30,78.92,$-1.18,0.0
2018-06-30,59.79,$-1.04,0.0
2018-03-31,40.33,$-1.01,0.0
2017-12-31,52.54,$-1.00,0.0
2017-09-30,47.12,$-1.16,0.0
2017-06-30,35.37,$-1.29,0.0
2017-03-31,23.62,$-1.48,0.0
2016-12-31,13.36,$-1.65,0.0
2016-09-30,18.57,$-1.72,0.0
2016-06-30,12.25,$-1.81,0.0
2016-03-31,6.74,$-1.79,0.0
2015-12-31,9.23,$-1.70,0.0
2015-09-30,17.99,$-1.67,0.0
2015-06-30,29.74,$-1.61,0.0
2015-03-31,22.02,$-1.41,0.0
2014-12-31,27.44,$-1.24,0.0
2014-09-30,19.38,$-1.03,0.0
2014-06-30,17.03,$-0.80,0.0
2014-03-31,14.17,$-0.75,0.0
2013-12-31,11.75,$-0.69,0.0
2013-09-30,11.8,$-0.74,0.0
2013-06-30,13.91,$-0.79,0.0
2013-03-31,9.8,$-0.86,0.0
2012-12-31,10.59,$-0.88,0.0
2012-09-30,11.0,$-0.84,0.0
2012-06-30,10.72,$-0.78,0.0
2012-03-31,11.16,$-0.65,0.0
2011-12-31,8.12,$-0.54,0.0
2011-09-30,6.63,$-0.44,0.0
2011-06-30,8.6,$-0.37,0.0
2011-03-31,7.34,$-0.30,0.0
2010-12-31,5.98,$-0.28,0.0
2010-09-30,7.24,$-0.25,0.0
2010-06-30,4.4,$-0.20,0.0
2010-03-31,4.45,$-0.22,0.0
2009-12-31,3.39,$-0.29,0.0
