QCR Holdings PE Ratio Historical Data,QCR Holdings PE Ratio Historical Data,QCR Holdings PE Ratio Historical Data,QCR Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,81.72,,12.12
2024-06-30,59.95,$6.74,8.89
2024-03-31,60.63,$6.71,9.04
2023-12-31,58.22,$6.73,8.65
2023-09-30,48.33,$6.59,7.33
2023-06-30,40.82,$6.81,5.99
2023-03-31,43.62,$5.99,7.28
2022-12-31,49.25,$5.88,8.38
2022-09-30,50.48,$5.78,8.73
2022-06-30,53.44,$6.06,8.82
2022-03-31,55.95,$6.58,8.5
2021-12-31,55.31,$6.21,8.91
2021-09-30,50.75,$5.64,9.0
2021-06-30,47.39,$4.74,10.0
2021-03-31,46.47,$4.21,11.04
2020-12-31,38.92,$3.79,10.27
2020-09-30,26.9,$3.64,7.39
2020-06-30,30.54,$3.49,8.75
2020-03-31,26.46,$3.48,7.6
2019-12-31,42.78,$3.59,11.92
2019-09-30,37.0,$3.44,10.76
2019-06-30,33.91,$3.05,11.12
2019-03-31,32.93,$2.93,11.24
2018-12-31,31.1,$2.86,10.87
2018-09-30,39.52,$2.72,14.53
2018-06-30,45.84,$2.75,16.67
2018-03-31,43.27,$2.67,16.21
2017-12-31,41.29,$2.61,15.82
2017-09-30,43.79,$2.55,17.17
2017-06-30,45.57,$2.43,18.75
2017-03-31,40.67,$2.31,17.61
2016-12-31,41.53,$2.16,19.23
2016-09-30,30.42,$2.09,14.55
2016-06-30,26.02,$2.18,11.94
2016-03-31,22.79,$1.60,14.25
2015-12-31,23.18,$1.59,14.58
2015-09-30,20.83,$1.39,14.99
2015-06-30,20.73,$1.34,15.47
2015-03-31,16.97,$1.84,9.22
2014-12-31,16.98,$1.72,9.87
2014-09-30,16.75,$1.85,9.06
2014-06-30,16.36,$1.86,8.8
2014-03-31,16.24,$2.00,8.12
2013-12-31,16.12,$2.09,7.71
2013-09-30,15.0,$2.08,7.21
2013-06-30,14.59,$2.01,7.26
2013-03-31,15.54,$1.86,8.35
2012-12-31,12.45,$1.85,6.73
2012-09-30,14.07,$1.71,8.23
2012-06-30,12.3,$1.26,9.76
2012-03-31,11.42,$1.16,9.84
2011-12-31,8.52,$0.92,9.26
2011-09-30,8.17,$0.68,12.02
2011-06-30,8.31,$0.90,9.24
2011-03-31,7.79,$0.71,10.98
2010-12-31,6.62,$0.53,12.49
2010-09-30,8.34,$0.40,20.84
2010-06-30,9.11,$0.31,29.39
2010-03-31,8.18,$-0.26,0.0
2009-12-31,7.68,$-0.45,0.0
