Webster Financial PE Ratio Historical Data,Webster Financial PE Ratio Historical Data,Webster Financial PE Ratio Historical Data,Webster Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,54.25,,16.39
2024-09-30,46.61,$3.31,14.08
2024-06-30,43.23,$4.59,9.42
2024-03-31,49.91,$4.88,10.23
2023-12-31,49.48,$4.89,10.12
2023-09-30,38.9,$5.22,7.45
2023-06-30,36.12,$5.25,6.88
2023-03-31,37.28,$4.93,7.56
2022-12-31,44.44,$3.55,12.52
2022-09-30,42.11,$3.37,12.5
2022-06-30,38.93,$3.09,12.6
2022-03-31,51.39,$3.10,16.58
2021-12-31,50.78,$3.88,13.09
2021-09-30,49.19,$3.43,14.34
2021-06-30,47.78,$2.97,16.09
2020-12-31,37.19,$2.35,15.82
2020-09-30,23.06,$2.67,8.64
2020-06-30,24.61,$3.09,7.96
2020-03-31,19.39,$3.52,5.51
2019-12-31,44.8,$4.18,10.72
2021-03-31,49.0,$4.28,11.45
2019-09-30,39.03,$4.16,9.38
2019-06-30,39.45,$4.22,9.35
2019-03-31,41.84,$4.03,10.38
2018-12-31,40.46,$3.82,10.59
2018-09-30,48.13,$3.50,13.75
2018-06-30,51.74,$3.11,16.64
2018-03-31,44.76,$2.89,15.49
2017-12-31,45.15,$2.66,16.97
2017-09-30,42.05,$2.53,16.62
2017-06-30,41.57,$2.40,17.32
2017-03-31,39.64,$2.29,17.31
2016-12-31,42.79,$2.18,19.63
2016-09-30,29.78,$2.13,13.98
2016-06-30,26.42,$2.13,12.4
2016-03-31,27.73,$2.13,13.02
2015-12-31,28.53,$2.15,13.27
2015-09-30,27.18,$2.10,12.94
2014-12-31,24.36,$2.09,11.66
2014-09-30,21.68,$2.01,10.79
2014-06-30,23.31,$2.03,11.48
2014-03-31,22.8,$2.02,11.29
2013-12-31,22.77,$1.97,11.56
2015-06-30,29.99,$1.96,15.3
2013-09-30,18.54,$1.93,9.61
2013-06-30,18.55,$1.92,9.66
2013-03-31,17.41,$1.88,9.26
2012-12-31,14.68,$1.86,7.89
2012-09-30,16.85,$1.77,9.52
2012-06-30,15.33,$1.74,8.81
2012-03-31,15.97,$1.66,9.62
2011-12-31,14.33,$1.60,8.96
2011-09-30,10.73,$1.47,7.3
2011-06-30,14.7,$1.24,11.85
2011-03-31,14.95,$1.03,14.51
2010-12-31,13.73,$0.59,23.28
2010-09-30,12.24,$-0.55,0.0
2010-06-30,12.49,$-1.16,0.0
2010-03-31,12.17,$-1.00,0.0
2009-12-31,8.26,$-1.33,0.0
2009-09-30,8.67,$0.03,288.91
