Abbott Laboratories PE Ratio Historical Data,Abbott Laboratories PE Ratio Historical Data,Abbott Laboratories PE Ratio Historical Data,Abbott Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,113.27,,35.73
2024-06-30,103.36,$3.17,32.61
2024-03-31,112.49,$3.21,35.04
2023-12-31,108.41,$3.26,33.25
2023-09-30,94.85,$2.94,32.26
2023-06-30,106.27,$2.93,36.27
2023-03-31,98.22,$3.29,29.85
2022-12-31,106.01,$3.91,27.11
2022-09-30,93.0,$4.43,20.99
2022-06-30,103.97,$4.79,21.71
2022-03-31,112.82,$4.31,26.18
2021-12-31,133.66,$3.94,33.92
2021-09-30,111.76,$4.03,27.73
2021-06-30,109.26,$3.55,30.78
2021-03-31,112.53,$3.19,35.28
2020-12-31,102.39,$2.50,40.96
2020-09-30,101.44,$1.89,53.67
2020-06-30,84.9,$1.73,49.07
2020-03-31,72.98,$1.99,36.67
2019-12-31,79.99,$2.06,38.83
2019-09-30,76.75,$1.84,41.71
2019-06-30,76.85,$1.63,47.15
2019-03-31,72.75,$1.48,49.15
2018-12-31,65.52,$1.33,49.26
2018-09-30,66.18,$0.48,137.88
2018-06-30,54.78,$0.50,109.55
2018-03-31,53.56,$0.25,214.25
2017-12-31,50.77,$0.26,195.28
2017-09-30,47.24,$1.27,37.2
2017-06-30,42.8,$0.71,60.29
2017-03-31,38.87,$0.96,40.49
2016-12-31,33.4,$0.93,35.92
2016-09-30,36.54,$0.91,40.16
2016-06-30,33.76,$1.51,22.36
2016-03-31,35.71,$1.62,22.04
2015-12-31,38.09,$2.92,13.05
2015-09-30,33.92,$3.00,11.31
2015-06-30,41.19,$2.98,13.82
2015-03-31,38.68,$2.76,14.02
2014-12-31,37.39,$1.49,25.09
2014-09-30,34.36,$1.27,27.05
2014-06-30,33.61,$1.52,22.11
2014-03-31,31.46,$1.52,20.7
2013-12-31,31.13,$1.62,19.22
2013-09-30,26.85,$1.91,14.06
2013-06-30,28.1,$2.51,11.2
2013-03-31,28.35,$3.29,8.62
2012-12-31,25.16,$3.73,6.74
2012-09-30,26.24,$4.09,6.42
2012-06-30,24.58,$3.07,8.01
2012-03-31,23.28,$3.22,7.23
2011-12-31,21.27,$2.99,7.11
2011-09-30,19.26,$2.89,6.66
2011-06-30,19.73,$3.27,6.03
2011-03-31,18.3,$2.87,6.38
2010-12-31,17.8,$2.96,6.01
2010-09-30,19.33,$3.02,6.4
2010-06-30,17.24,$3.40,5.07
2010-03-31,19.33,$3.40,5.69
2009-12-31,19.74,$3.68,5.37
