OceanFirst Financial PE Ratio Historical Data,OceanFirst Financial PE Ratio Historical Data,OceanFirst Financial PE Ratio Historical Data,OceanFirst Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.46,,11.72
2024-06-30,15.69,$1.66,9.45
2024-03-31,16.0,$1.71,9.36
2023-12-31,16.72,$1.70,9.84
2023-09-30,13.74,$2.13,6.45
2023-06-30,14.68,$2.44,6.01
2023-03-31,17.12,$2.46,6.96
2022-12-31,19.53,$2.37,8.24
2022-09-30,16.98,$1.87,9.08
2022-06-30,17.26,$1.72,10.04
2021-12-31,19.7,$1.78,11.07
2021-09-30,18.86,$1.95,9.67
2021-06-30,18.21,$1.98,9.2
2021-03-31,20.76,$1.39,14.94
2020-12-31,16.01,$1.17,13.69
2022-03-31,17.97,$0.90,19.97
2020-09-30,11.63,$0.95,12.24
2020-06-30,14.81,$1.54,9.62
2020-03-31,13.22,$1.60,8.26
2019-12-31,21.07,$1.75,12.04
2019-09-30,19.33,$1.83,10.56
2019-06-30,20.21,$1.84,10.98
2019-03-31,19.57,$1.79,10.93
2018-12-31,18.18,$1.49,12.2
2018-09-30,21.84,$1.24,17.61
2018-06-30,23.91,$1.13,21.16
2018-03-31,21.23,$1.04,20.42
2017-12-31,20.72,$1.28,16.19
2017-09-30,21.58,$1.20,17.98
2017-06-30,21.17,$1.16,18.25
2017-03-31,21.87,$1.09,20.07
2016-12-31,23.19,$0.98,23.67
2016-09-30,14.77,$1.07,13.8
2016-06-30,13.84,$1.00,13.84
2016-03-31,13.37,$1.15,11.62
2015-12-31,15.03,$1.22,12.32
2015-09-30,12.84,$1.21,10.61
2015-06-30,13.8,$1.24,11.13
2015-03-31,12.68,$1.23,10.31
2014-12-31,12.49,$1.19,10.49
2014-09-30,11.5,$1.00,11.5
2014-06-30,11.88,$0.98,12.12
2014-03-31,12.6,$0.97,12.99
2013-12-31,12.12,$0.95,12.76
2013-09-30,11.88,$1.07,11.11
2013-06-30,10.85,$1.06,10.24
2013-03-31,9.98,$1.07,9.33
2012-12-31,9.44,$1.12,8.43
2012-09-30,9.98,$1.19,8.39
2012-06-30,9.69,$1.19,8.14
2012-03-31,9.52,$1.17,8.14
2011-12-31,8.67,$1.14,7.6
2011-09-30,7.67,$1.16,6.61
2011-06-30,8.43,$1.17,7.21
2011-03-31,9.01,$1.16,7.77
2010-12-31,8.24,$1.12,7.36
2010-09-30,7.78,$0.92,8.45
2010-06-30,7.58,$0.97,7.81
2010-03-31,7.07,$0.96,7.36
2009-12-31,6.94,$1.02,6.81
