Evotec AG PE Ratio Historical Data,Evotec AG PE Ratio Historical Data,Evotec AG PE Ratio Historical Data,Evotec AG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.08,,inf
2024-06-30,4.8,0,0.0
2024-03-31,7.83,0,0.0
2023-09-30,9.87,0,0.0
2023-06-30,11.3,0,0.0
2022-12-31,8.09,0,0.0
2022-09-30,8.79,0,0.0
2022-06-30,11.98,$0.12,99.83
2022-03-31,15.13,$0.25,59.92
2021-12-31,23.75,$0.31,76.61
2018-12-31,12.07,$0.32,37.43
2018-09-30,12.1,$0.25,49.4
2018-06-30,12.13,$0.13,97.02
2018-03-31,11.97,$0.08,154.46
2017-12-31,12.4,$0.09,137.82
2017-09-30,12.8,$0.11,113.77
2017-06-30,12.98,$0.14,94.41
2017-03-31,12.52,$0.15,86.37
2016-12-31,12.39,$0.12,107.76
2016-09-30,13.66,$0.07,188.35
2016-06-30,14.08,$0.03,563.18
2016-03-31,13.08,$0.07,186.8
2015-12-31,12.23,$0.07,174.72
2015-09-30,11.46,$0.05,218.37
2015-06-30,11.27,$0.05,250.37
2015-03-31,11.64,$-0.02,0.0
2014-12-31,11.28,$-0.04,0.0
2014-09-30,10.97,$-0.16,0.0
2014-06-30,11.02,$-0.14,0.0
2014-03-31,10.31,$-0.15,0.0
2013-12-31,9.5,$-0.14,0.0
2013-09-30,9.5,$-0.06,0.0
2013-06-30,9.77,$-0.02,0.0
2013-03-31,11.04,$0.01,0.0
2012-12-31,12.19,$0.01,0.0
2012-09-30,11.74,$0.02,521.92
2012-06-30,10.94,$0.04,257.36
2012-03-31,10.72,$0.03,329.82
2011-12-31,9.72,$0.05,216.08
2011-09-30,9.04,$0.07,124.71
2011-06-30,8.67,$0.03,315.38
2011-03-31,8.73,$0.03,317.37
2010-12-31,8.21,$0.02,410.42
2010-09-30,9.43,$0.01,0.0
2010-06-30,8.73,$-0.02,0.0
2010-03-31,8.8,$-0.08,0.0
2009-12-31,8.23,$-0.21,0.0
