PPG Industries PE Ratio Historical Data,PPG Industries PE Ratio Historical Data,PPG Industries PE Ratio Historical Data,PPG Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,129.73,,21.27
2024-06-30,125.17,$6.10,20.52
2024-03-31,143.38,$5.92,24.22
2023-12-31,147.31,$5.34,27.59
2023-09-30,127.2,$5.97,21.31
2023-06-30,144.66,$5.57,25.97
2023-03-31,129.72,$5.36,24.2
2022-12-31,121.52,$4.33,28.06
2022-09-30,106.4,$4.52,23.54
2022-06-30,109.37,$4.56,23.98
2022-03-31,124.8,$4.51,27.67
2021-12-31,163.54,$6.01,27.21
2021-09-30,135.13,$5.95,22.71
2021-06-30,159.85,$6.38,25.05
2021-03-31,141.05,$5.01,28.15
2020-12-31,134.85,$4.45,30.3
2020-09-30,113.71,$4.53,25.1
2020-06-30,98.32,$4.21,23.35
2020-03-31,77.08,$4.92,15.67
2019-12-31,122.55,$4.98,24.61
2019-09-30,108.37,$5.31,20.41
2019-06-30,106.25,$5.28,20.12
2018-12-31,92.27,$5.54,16.66
2018-09-30,98.07,$5.18,18.93
2018-06-30,92.81,$5.99,15.49
2018-03-31,99.43,$6.42,15.49
2017-12-31,103.68,$6.31,16.43
2017-09-30,96.06,$6.89,13.94
2017-06-30,96.79,$3.84,25.21
2017-03-31,92.15,$3.27,28.18
2016-12-31,82.78,$3.27,25.31
2016-09-30,89.91,$3.13,28.73
2016-06-30,90.25,$5.41,16.68
2016-03-31,96.26,$5.27,18.27
2015-12-31,85.0,$5.15,16.5
2015-09-30,75.16,$4.29,17.52
2015-06-30,97.99,$4.03,24.32
2015-03-31,96.17,$4.18,23.04
2014-12-31,98.29,$7.49,13.12
2014-09-30,83.38,$8.08,10.32
2014-06-30,88.77,$7.53,11.79
2014-03-31,81.44,$7.33,11.11
2013-12-31,79.58,$11.00,7.23
2013-09-30,69.86,$10.84,6.44
2013-06-30,61.0,$11.15,5.47
2013-03-31,55.58,$11.15,4.99
2012-12-31,55.92,$3.03,18.45
2012-09-30,47.21,$3.00,15.76
2012-06-30,43.4,$2.89,15.04
2012-03-31,38.96,$3.03,12.88
2011-12-31,33.74,$4.05,8.34
2011-09-30,28.38,$4.05,7.01
2019-03-31,102.32,$3.69,27.73
2011-06-30,36.18,$3.17,11.41
2011-03-31,37.7,$2.93,12.89
2010-12-31,33.08,$2.32,14.29
2010-09-30,28.45,$2.12,13.42
2010-06-30,23.42,$1.81,12.94
2010-03-31,25.15,$1.44,17.46
2009-12-31,22.32,$1.01,22.1
