Provident Financial Services PE Ratio Historical Data,Provident Financial Services PE Ratio Historical Data,Provident Financial Services PE Ratio Historical Data,Provident Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.91,,18.78
2024-06-30,14.16,$1.06,13.36
2024-03-31,14.15,$1.60,8.85
2023-12-31,17.24,$1.71,10.08
2023-09-30,14.38,$2.01,7.15
2023-06-30,15.16,$2.21,6.86
2023-03-31,17.52,$2.31,7.58
2022-12-31,19.32,$2.35,8.22
2022-09-30,17.44,$2.18,8.0
2022-06-30,19.72,$2.09,9.44
2022-03-31,20.5,$2.14,9.58
2021-12-31,21.01,$2.19,9.59
2021-09-30,20.17,$2.23,9.04
2021-06-30,19.47,$2.11,9.23
2021-03-31,18.78,$1.75,10.73
2020-12-31,14.96,$1.52,9.84
2020-09-30,10.0,$1.48,6.76
2020-06-30,11.66,$1.49,7.82
2019-12-31,19.3,$1.75,11.03
2019-09-30,19.03,$1.90,10.01
2019-06-30,18.81,$1.64,11.47
2019-03-31,19.9,$1.80,11.06
2018-12-31,18.26,$1.62,11.27
2020-03-31,10.17,$1.50,6.78
2018-09-30,18.42,$1.57,11.73
2018-06-30,20.48,$1.44,14.23
2018-03-31,18.9,$1.52,12.43
2017-12-31,19.77,$1.46,13.54
2017-09-30,19.29,$1.51,12.78
2017-06-30,18.21,$1.46,12.47
2017-03-31,18.41,$1.42,12.96
2016-12-31,20.01,$1.38,14.5
2016-09-30,14.9,$1.37,10.88
2016-06-30,13.66,$1.34,10.2
2016-03-31,13.92,$1.35,10.31
2015-12-31,13.76,$1.34,10.27
2015-09-30,13.21,$1.34,9.86
2015-06-30,12.76,$1.31,9.74
2015-03-31,12.42,$1.24,10.02
2014-12-31,11.92,$1.22,9.77
2014-09-30,10.72,$1.18,9.08
2014-06-30,11.24,$1.16,9.69
2014-03-31,11.82,$1.22,9.69
2013-12-31,12.32,$1.23,10.01
2013-09-30,10.25,$1.22,8.4
2013-06-30,9.9,$1.22,8.11
2013-03-31,9.49,$1.16,8.18
2012-12-31,9.2,$1.17,7.86
2012-09-30,9.51,$1.14,8.34
2012-06-30,9.17,$1.13,8.11
2012-03-31,8.6,$1.10,7.82
2011-12-31,7.86,$1.01,7.78
2011-09-30,6.25,$0.96,6.51
2011-06-30,8.24,$0.93,8.86
2011-03-31,8.45,$0.91,9.28
2010-12-31,8.57,$0.88,9.74
2010-09-30,6.95,$0.79,8.8
2010-06-30,6.51,$0.70,9.3
2010-03-31,6.57,$0.58,11.33
2009-12-31,5.82,$-2.18,0.0
