Two Harbors Investments Corp PE Ratio Historical Data,Two Harbors Investments Corp PE Ratio Historical Data,Two Harbors Investments Corp PE Ratio Historical Data,Two Harbors Investments Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.06,,31.85
2024-06-30,12.33,$0.41,30.07
2024-03-31,11.93,$1.78,6.7
2023-12-31,12.14,$-2.00,0.0
2023-09-30,11.14,$-0.48,0.0
2023-06-30,11.29,$-0.51,0.0
2023-03-31,11.47,$-3.31,0.0
2022-12-31,11.85,$1.62,7.32
2022-09-30,9.98,$4.50,2.22
2022-06-30,13.76,$2.40,5.73
2022-03-31,14.81,$1.48,10.01
2021-12-31,15.45,$1.56,9.91
2021-09-30,16.5,$4.44,3.72
2021-06-30,19.17,$6.32,3.03
2021-03-31,18.18,$5.44,3.34
2020-12-31,15.44,$-25.16,0.0
2020-09-30,12.01,$-26.24,0.0
2020-06-30,11.57,$-24.80,0.0
2020-03-31,8.42,$-23.60,0.0
2019-12-31,32.3,$3.32,9.73
2019-09-30,28.24,$-7.56,0.0
2019-06-30,26.45,$-11.24,0.0
2019-03-31,27.38,$-6.92,0.0
2018-12-31,25.11,$0.56,44.84
2018-09-30,28.18,$13.16,2.14
2018-06-30,29.52,$14.92,1.98
2018-03-31,27.89,$12.28,2.27
2017-12-31,28.63,$7.20,3.98
2017-09-30,34.51,$11.68,2.95
2017-06-30,33.07,$11.44,2.89
2017-03-31,31.19,$10.96,2.85
2016-12-31,27.64,$7.28,3.8
2016-09-30,26.31,$4.16,6.32
2016-06-30,25.72,$1.60,16.07
2016-03-31,23.22,$6.80,3.41
2015-12-31,23.01,$10.88,2.11
2015-09-30,24.29,$5.36,4.53
2015-06-30,26.06,$10.32,2.53
2015-03-31,27.69,$6.40,4.33
2014-12-31,25.5,$3.68,6.93
2014-09-30,23.99,$9.76,2.46
2014-06-30,25.33,$1.28,19.79
2014-03-31,24.18,$8.88,2.72
2013-12-31,21.34,$13.28,1.61
2013-09-30,21.72,$13.12,1.66
2013-06-30,22.27,$18.16,1.23
2013-03-31,26.6,$10.56,2.52
2012-12-31,22.79,$9.04,2.52
2012-09-30,23.11,$6.88,3.36
2012-06-30,19.8,$9.44,2.1
2012-03-31,18.71,$8.48,2.21
2011-12-31,16.45,$10.16,1.62
2011-09-30,15.12,$12.00,1.26
2011-06-30,17.66,$11.68,1.51
2011-03-31,16.62,$13.20,1.26
2010-12-31,14.5,$12.48,1.16
2010-09-30,12.86,$4.64,2.77
