First Commonwealth Financial PE Ratio Historical Data,First Commonwealth Financial PE Ratio Historical Data,First Commonwealth Financial PE Ratio Historical Data,First Commonwealth Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.69,,11.41
2024-06-30,13.7,$1.55,8.84
2024-03-31,13.68,$1.61,8.5
2023-12-31,15.03,$1.54,9.76
2023-09-30,11.77,$1.48,7.95
2023-06-30,12.09,$1.46,8.28
2023-03-31,11.75,$1.37,8.58
2022-12-31,13.11,$1.36,9.64
2022-09-30,11.94,$1.35,8.85
2022-06-30,12.38,$1.35,9.17
2022-03-31,13.86,$1.33,10.42
2021-12-31,14.61,$1.45,10.08
2021-09-30,12.29,$1.35,9.1
2021-06-30,12.57,$1.19,10.57
2021-03-31,12.74,$1.12,11.38
2020-12-31,9.62,$0.76,12.65
2020-09-30,6.72,$0.76,8.84
2020-06-30,7.09,$0.83,8.54
2020-03-31,7.72,$0.87,8.87
2019-12-31,12.16,$1.07,11.36
2019-09-30,11.05,$1.07,10.33
2019-06-30,11.12,$1.05,10.59
2019-03-31,10.33,$1.09,9.48
2018-12-31,9.83,$1.08,9.1
2018-09-30,13.05,$0.85,15.35
2018-06-30,12.47,$0.82,15.21
2018-03-31,11.29,$0.64,17.65
2017-12-31,11.38,$0.58,19.63
2017-09-30,11.17,$0.74,15.1
2017-06-30,9.96,$0.71,14.03
2017-03-31,10.35,$0.71,14.58
2016-12-31,11.01,$0.67,16.43
2016-09-30,7.78,$0.58,13.41
2016-06-30,7.04,$0.53,13.29
2016-03-31,6.73,$0.54,12.46
2015-12-31,6.83,$0.56,12.2
2015-09-30,6.8,$0.53,12.82
2015-06-30,7.12,$0.52,13.68
2015-03-31,6.63,$0.50,13.25
2014-12-31,6.73,$0.47,14.33
2014-09-30,6.08,$0.49,12.41
2014-06-30,6.63,$0.52,12.75
2014-03-31,6.45,$0.45,14.33
2013-12-31,6.24,$0.41,15.21
2013-09-30,5.33,$0.40,13.32
2013-06-30,5.13,$0.36,14.26
2012-12-31,4.68,$0.41,11.41
2012-09-30,4.8,$0.27,17.77
2012-06-30,4.55,$0.29,15.68
2012-03-31,4.1,$0.25,16.41
2011-12-31,3.51,$0.21,16.7
2013-03-31,5.15,$0.31,16.62
2011-09-30,2.45,$0.31,7.91
2011-06-30,3.78,$0.34,11.12
2011-03-31,4.49,$0.42,10.69
2010-12-31,4.62,$0.22,21.01
2010-09-30,3.55,$0.15,23.68
2010-06-30,3.41,0,0.0
2010-03-31,4.36,$-0.37,0.0
2009-12-31,3.01,$-0.20,0.0
