Caesars Entertainment PE Ratio Historical Data,Caesars Entertainment PE Ratio Historical Data,Caesars Entertainment PE Ratio Historical Data,Caesars Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,37.64,,0.0
2024-06-30,39.74,$-1.29,0.0
2024-03-31,43.74,$3.53,12.39
2023-12-31,46.88,$3.63,12.91
2023-09-30,46.35,$3.27,14.17
2023-06-30,50.97,$3.17,16.08
2023-03-31,48.81,$-1.66,0.0
2022-12-31,41.6,$-4.21,0.0
2022-09-30,32.26,$-5.54,0.0
2022-06-30,38.3,$-6.88,0.0
2022-03-31,77.36,$-5.97,0.0
2021-12-31,93.53,$-4.70,0.0
2021-09-30,112.28,$-8.76,0.0
2021-06-30,103.75,$-8.91,0.0
2020-12-31,74.27,$-11.50,0.0
2020-09-30,56.06,$-9.76,0.0
2020-06-30,40.06,$-5.70,0.0
2020-03-31,14.4,$-3.98,0.0
2019-12-31,59.64,$-1.49,0.0
2021-03-31,87.45,$-0.83,0.0
2019-09-30,39.87,$1.20,33.23
2019-06-30,46.07,$1.21,38.07
2019-03-31,46.69,$1.44,32.42
2018-12-31,36.21,$1.22,29.68
2018-09-30,48.6,$2.37,20.51
2018-06-30,39.1,$2.27,17.22
2018-03-31,33.0,$1.11,29.73
2017-12-31,33.15,$0.86,38.55
2017-09-30,25.65,$-0.27,0.0
2017-06-30,20.0,$-0.45,0.0
2017-03-31,18.93,$0.47,40.27
2016-12-31,16.95,$0.52,32.6
2016-09-30,14.06,$2.83,4.97
2016-06-30,15.2,$2.70,5.63
2016-03-31,11.44,$2.57,4.45
2015-12-31,11.0,$2.37,4.64
2015-09-30,9.02,$-0.20,0.0
2015-06-30,7.82,$-0.43,0.0
