Heartland Financial USA PE Ratio Historical Data,Heartland Financial USA PE Ratio Historical Data,Heartland Financial USA PE Ratio Historical Data,Heartland Financial USA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,60.67,,43.96
2024-06-30,44.19,$1.38,32.02
2023-12-31,36.81,$1.69,21.78
2023-09-30,28.5,$4.75,6.0
2023-06-30,26.74,$4.83,5.54
2023-03-31,36.39,$5.00,7.28
2022-12-31,43.96,$4.98,8.83
2024-03-31,34.71,$4.73,7.34
2022-09-30,40.67,$4.69,8.67
2022-06-30,38.73,$4.68,8.28
2022-03-31,44.31,$4.71,9.41
2021-12-31,46.64,$4.57,10.21
2021-09-30,44.08,$4.68,9.42
2021-03-31,45.63,$4.23,10.79
2020-12-31,36.48,$3.57,10.22
2020-09-30,26.96,$3.62,7.45
2020-06-30,29.87,$3.33,8.97
2020-03-31,26.78,$3.77,7.1
2019-12-31,43.93,$4.14,10.61
2019-09-30,39.36,$4.04,9.74
2019-06-30,39.2,$4.07,9.63
2019-03-31,37.24,$3.66,10.17
2018-12-31,38.25,$3.51,10.9
2018-09-30,50.33,$3.03,16.61
2018-06-30,47.44,$2.78,17.07
2018-03-31,45.78,$2.74,16.71
2017-12-31,46.18,$2.66,17.36
2017-09-30,42.37,$2.95,14.36
2017-06-30,40.3,$3.04,13.26
2017-03-31,42.64,$3.07,13.89
2016-12-31,40.88,$3.21,12.74
2016-09-30,30.58,$3.14,9.74
2016-06-30,29.84,$3.02,9.88
2016-03-31,25.96,$2.90,8.95
2015-12-31,26.35,$2.84,9.28
2015-09-30,30.41,$2.81,10.82
2015-06-30,31.1,$2.75,11.31
2015-03-31,27.19,$2.59,10.5
2014-12-31,22.51,$2.19,10.28
2014-09-30,19.75,$1.97,10.03
2014-06-30,20.37,$1.72,11.84
2014-03-31,22.14,$1.70,13.02
2013-12-31,23.52,$2.04,11.53
2013-09-30,22.68,$2.12,10.7
2013-06-30,22.3,$2.49,8.95
2013-03-31,20.42,$2.72,7.51
2012-12-31,21.04,$3.43,6.13
2012-09-30,21.78,$3.24,6.72
2012-06-30,19.09,$2.69,7.1
2021-06-30,42.85,$2.46,17.42
2011-12-31,12.06,$1.23,9.81
2011-09-30,11.07,$1.23,9.0
2011-06-30,11.29,$1.74,6.49
2011-03-31,13.09,$1.54,8.5
2010-12-31,13.36,$1.59,8.41
2012-03-31,13.72,$1.52,9.03
2010-09-30,11.71,$0.25,46.83
2010-06-30,13.05,$0.04,326.33
2010-03-31,11.99,$0.02,599.73
2009-12-31,10.7,$0.07,152.91
