TEGNA PE Ratio Historical Data,TEGNA PE Ratio Historical Data,TEGNA PE Ratio Historical Data,TEGNA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.68,,6.89
2024-06-30,13.81,$2.42,5.71
2024-03-31,14.8,$2.86,5.18
2023-12-31,15.04,$2.26,6.66
2023-09-30,14.32,$2.83,5.06
2023-06-30,15.85,$3.00,5.28
2023-03-31,16.41,$2.67,6.14
2022-12-31,20.44,$2.81,7.27
2022-09-30,19.85,$2.42,8.2
2022-06-30,20.04,$2.35,8.53
2022-03-31,21.32,$2.24,9.52
2021-12-31,17.59,$2.75,6.4
2021-09-30,18.6,$2.77,6.72
2021-06-30,17.6,$2.28,7.72
2020-12-31,12.97,$2.19,5.92
2020-09-30,10.88,$1.46,7.45
2020-06-30,10.25,$1.37,7.48
2020-03-31,9.94,$1.50,6.63
2019-12-31,15.19,$1.48,10.27
2021-03-31,17.58,$1.44,12.21
2019-09-30,14.07,$1.67,8.43
2019-06-30,13.67,$1.88,7.27
2019-03-31,12.66,$1.94,6.53
2018-12-31,9.72,$1.85,5.25
2018-09-30,10.63,$2.51,4.24
2018-06-30,9.59,$2.31,4.15
2018-03-31,10.0,$2.11,4.74
2017-12-31,12.29,$2.13,5.77
2017-09-30,11.58,$1.34,8.64
2017-06-30,12.45,$1.65,7.54
2017-03-31,14.04,$1.87,7.51
2016-12-31,11.66,$2.02,5.77
2016-09-30,11.84,$2.10,5.64
2016-06-30,12.47,$1.95,6.4
2016-03-31,12.55,$2.00,6.28
2015-12-31,13.58,$2.07,6.56
2015-09-30,11.85,$4.30,2.76
2015-06-30,16.87,$4.42,3.82
2015-03-31,15.75,$4.82,3.27
2014-12-31,13.48,$4.58,2.94
2014-09-30,12.45,$2.05,6.07
2014-06-30,13.06,$1.88,6.95
2014-03-31,11.44,$1.46,7.83
2013-12-31,12.18,$1.65,7.38
2013-09-30,10.96,$1.70,6.44
2013-06-30,9.94,$1.92,5.18
2013-03-31,8.81,$1.95,4.52
2012-12-31,7.2,$1.79,4.02
2012-09-30,7.03,$1.84,3.82
2012-06-30,5.78,$1.69,3.42
2012-03-31,5.94,$1.80,3.3
2011-12-31,5.12,$1.89,2.71
2011-09-30,3.63,$2.12,1.71
2011-06-30,5.42,$2.13,2.55
2011-03-31,5.75,$2.32,2.48
2010-12-31,5.69,$2.44,2.33
2010-09-30,4.6,$2.28,2.02
2010-06-30,5.05,$2.17,2.33
2010-03-31,6.19,$1.66,3.73
2009-12-31,5.55,$1.51,3.67
