NRG Energy PE Ratio Historical Data,NRG Energy PE Ratio Historical Data,NRG Energy PE Ratio Historical Data,NRG Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,85.01,,9.26
2024-06-30,77.43,$9.18,8.43
2024-03-31,66.94,$7.06,9.48
2023-12-31,50.74,$-1.07,0.0
2023-09-30,37.47,$-7.72,0.0
2023-06-30,36.01,$-8.84,0.0
2023-03-31,32.67,$-7.93,0.0
2022-12-31,29.98,$5.06,5.93
2022-09-30,35.78,$7.88,4.54
2022-06-30,35.36,$14.19,2.49
2022-03-31,35.19,$16.43,2.14
2021-12-31,39.18,$8.93,4.39
2021-09-30,36.83,$9.97,3.69
2021-06-30,36.07,$4.39,8.22
2021-03-31,33.46,$1.26,26.56
2020-12-31,33.04,$2.08,15.89
2020-09-30,26.8,$15.65,1.71
2020-06-30,28.13,$16.08,1.75
2020-03-31,23.35,$15.56,1.5
2019-12-31,33.77,$16.79,2.01
2019-09-30,33.62,$3.88,8.66
2019-06-30,29.79,$2.19,13.6
2019-03-31,36.0,$1.67,21.56
2018-12-31,33.54,$0.82,40.9
2018-09-30,31.65,$-3.98,0.0
2018-06-30,25.95,$-3.21,0.0
2018-03-31,25.78,$-5.42,0.0
2017-12-31,24.03,$-6.81,0.0
2017-09-30,21.56,$-5.10,0.0
2017-06-30,14.49,$-4.36,0.0
2017-03-31,15.71,$-2.99,0.0
2016-12-31,10.28,$-2.23,0.0
2016-09-30,9.37,$-18.31,0.0
2016-06-30,12.51,$-19.40,0.0
2016-03-31,10.83,$-18.85,0.0
2015-12-31,9.66,$-19.46,0.0
2015-09-30,12.05,$-0.04,0.0
2015-06-30,18.45,$0.26,70.97
2015-03-31,20.2,$0.02,1010.1
2014-12-31,21.49,$0.21,102.31
2014-09-30,24.19,$-0.97,0.0
2014-06-30,29.39,$-1.08,0.0
2014-03-31,25.01,$-0.39,0.0
2013-12-31,22.49,$-1.23,0.0
2013-09-30,21.32,$1.80,11.84
2013-06-30,20.73,$1.42,14.6
2013-03-31,20.48,$2.11,9.71
2012-12-31,17.71,$2.21,8.01
2012-09-30,16.41,$-0.33,0.0
2012-06-30,13.26,$-0.56,0.0
2012-03-31,11.97,$0.89,13.44
2011-12-31,13.84,$0.75,18.45
2011-09-30,16.2,$1.16,13.96
2011-06-30,18.77,$2.27,8.27
2011-03-31,16.45,$0.55,29.91
2010-12-31,14.92,$1.83,8.15
2010-09-30,15.9,$2.01,7.91
2010-06-30,16.2,$2.16,7.5
2010-03-31,15.96,$2.91,5.48
2009-12-31,18.03,$3.39,5.32
