TTM Technologies PE Ratio Historical Data,TTM Technologies PE Ratio Historical Data,TTM Technologies PE Ratio Historical Data,TTM Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.5,,128.13
2024-06-30,19.43,$0.16,121.44
2024-03-31,15.65,$-0.02,0.0
2023-12-31,15.81,$-0.18,0.0
2023-09-30,12.88,$-0.29,0.0
2023-06-30,13.9,$0.49,28.37
2023-03-31,13.49,$0.69,19.55
2022-12-31,15.08,$0.92,16.39
2022-09-30,13.18,$0.94,14.02
2022-06-30,12.5,$0.71,17.61
2022-03-31,14.82,$0.70,21.17
2021-12-31,14.9,$0.50,29.8
2021-09-30,12.57,$0.76,16.54
2021-06-30,14.3,$0.18,79.44
2021-03-31,14.5,$1.71,8.48
2020-12-31,13.8,$1.73,7.97
2020-09-30,11.41,$1.60,7.13
2020-06-30,11.86,$2.13,5.57
2020-03-31,10.34,$0.37,27.95
2019-12-31,15.05,$0.35,43.0
2019-09-30,12.2,$0.56,21.78
2019-06-30,10.2,$0.64,15.94
2019-03-31,11.73,$1.26,9.31
2018-12-31,9.73,$1.38,7.05
2018-09-30,15.91,$1.36,11.7
2018-06-30,17.63,$1.33,13.26
2018-03-31,15.29,$0.86,17.78
2017-12-31,15.67,$1.10,14.25
2017-09-30,15.37,$0.68,22.6
2017-06-30,17.36,$0.72,24.11
2017-03-31,16.13,$0.71,22.72
2016-12-31,13.63,$0.47,29.0
2016-09-30,11.45,$0.47,24.36
2016-06-30,7.53,$-0.17,0.0
2015-12-31,6.51,$-0.30,0.0
2015-09-30,6.23,$-0.22,0.0
2015-06-30,9.99,$-0.27,0.0
2015-03-31,9.01,$0.23,39.17
2014-12-31,7.53,$0.15,50.2
2016-03-31,6.65,$-0.07,0.0
2014-09-30,6.81,$0.14,48.64
2014-06-30,8.2,$-0.04,0.0
2014-03-31,8.45,$0.16,52.81
2013-12-31,8.58,$0.27,31.78
2013-09-30,9.74,$0.32,30.44
2013-06-30,8.4,$-2.13,0.0
2013-03-31,7.6,$-2.20,0.0
2012-12-31,9.19,$-2.11,0.0
2012-09-30,9.42,$-2.20,0.0
2012-06-30,9.39,$0.64,14.66
2012-03-31,11.51,$0.29,39.69
2011-12-31,10.96,$0.47,23.32
2011-09-30,9.51,$0.78,12.19
2011-06-30,16.02,$0.84,19.07
2011-03-31,18.16,$1.16,15.66
2010-12-31,14.92,$0.93,16.04
2010-09-30,9.79,$0.58,16.88
2010-06-30,9.5,$0.11,86.36
2010-03-31,8.88,$0.19,46.74
2009-12-31,11.53,$0.06,192.17
