Hawaiian Electric Industries PE Ratio Historical Data,Hawaiian Electric Industries PE Ratio Historical Data,Hawaiian Electric Industries PE Ratio Historical Data,Hawaiian Electric Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.23,,0.0
2024-06-30,9.02,$-10.55,0.0
2024-03-31,11.27,$1.69,6.67
2023-12-31,14.19,$1.81,7.84
2023-09-30,12.31,$1.89,6.51
2023-06-30,35.15,$2.09,16.82
2023-03-31,36.92,$2.22,16.63
2022-12-31,39.88,$2.22,17.97
2022-09-30,32.74,$2.28,14.36
2022-03-31,39.32,$2.29,17.17
2021-12-31,38.23,$2.25,16.99
2021-09-30,37.3,$2.21,16.88
2021-06-30,38.33,$2.22,17.27
2021-03-31,39.97,$2.09,19.13
2020-12-31,31.53,$1.81,17.42
2020-09-30,29.35,$1.96,14.97
2020-06-30,31.54,$1.85,17.05
2020-03-31,37.32,$1.98,18.85
2019-12-31,40.35,$2.06,19.59
2022-06-30,38.33,$1.87,20.5
2019-09-30,38.99,$1.84,21.19
2019-06-30,36.96,$1.86,19.87
2019-03-31,34.34,$1.89,18.17
2018-12-31,30.59,$1.84,16.62
2018-09-30,29.49,$1.69,17.45
2018-06-30,28.17,$1.64,17.18
2018-03-31,27.98,$1.58,17.71
2017-12-31,29.15,$1.52,19.18
2017-09-30,26.68,$1.63,16.37
2017-06-30,25.65,$2.25,11.4
2017-03-31,26.13,$2.30,11.36
2016-12-31,25.7,$2.29,11.22
2016-09-30,22.96,$2.27,10.11
2016-06-30,24.96,$1.57,15.9
2016-03-31,24.43,$1.49,16.4
2015-12-31,21.6,$1.50,14.4
2015-09-30,21.18,$1.43,14.81
2015-06-30,21.72,$1.42,15.3
2015-03-31,23.23,$1.50,15.49
2014-12-31,24.0,$1.64,14.63
2014-09-30,18.81,$1.71,11.0
2014-06-30,17.72,$1.73,10.24
2014-03-31,17.56,$1.73,10.15
2013-12-31,17.78,$1.62,10.98
2013-09-30,16.93,$1.37,12.35
2013-06-30,16.86,$1.38,12.22
2013-03-31,18.26,$1.37,13.33
2012-12-31,16.38,$1.43,11.45
2012-09-30,16.92,$1.65,10.26
2012-06-30,18.14,$1.66,10.93
2012-03-31,15.93,$1.54,10.35
2011-12-31,16.44,$1.44,11.42
2011-09-30,14.9,$1.34,11.12
2011-06-30,14.56,$1.19,12.24
2011-03-31,14.83,$1.22,12.16
2010-12-31,13.46,$1.21,11.12
2010-09-30,13.13,$1.10,11.94
2010-06-30,13.1,$1.12,11.7
2010-03-31,12.73,$0.98,12.99
2009-12-31,11.67,$0.91,12.83
