Berry Global PE Ratio Historical Data,Berry Global PE Ratio Historical Data,Berry Global PE Ratio Historical Data,Berry Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,69.94,,14.94
2024-06-30,58.61,$4.68,12.52
2024-03-31,60.24,$4.21,14.31
2023-12-31,66.8,$4.65,14.37
2023-09-30,61.12,$5.00,12.22
2023-06-30,63.27,$5.30,11.94
2023-03-31,57.67,$5.70,10.12
2022-12-31,58.93,$5.78,10.2
2022-09-30,45.18,$5.80,7.79
2022-06-30,53.06,$5.59,9.49
2022-03-31,56.28,$5.41,10.4
2021-12-31,71.65,$5.23,13.7
2021-09-30,59.12,$5.32,11.11
2021-06-30,63.33,$5.12,12.37
2021-03-31,59.62,$5.14,11.6
2020-12-31,54.57,$4.76,11.46
2020-09-30,46.92,$4.15,11.31
2020-06-30,43.04,$4.41,9.76
2020-03-31,32.74,$3.09,10.59
2019-12-31,46.12,$2.70,17.08
2019-09-30,38.13,$3.01,12.67
2019-06-30,51.07,$2.30,22.2
2019-03-31,52.31,$3.01,17.38
2018-12-31,46.16,$3.12,14.79
2018-09-30,46.99,$3.66,12.84
2018-06-30,44.61,$3.48,12.82
2018-03-31,53.23,$3.46,15.38
2017-12-31,56.97,$3.34,17.06
2017-09-30,55.01,$2.54,21.66
2017-06-30,55.36,$2.34,23.66
2017-03-31,47.17,$2.31,20.42
2016-12-31,47.32,$2.24,21.13
2016-09-30,42.58,$1.87,22.77
2016-06-30,37.73,$1.65,22.86
2016-03-31,35.1,$0.78,45.01
2015-12-31,35.13,$0.62,56.67
2015-09-30,29.2,$0.70,41.72
2015-06-30,31.46,$0.55,57.21
2015-03-31,35.14,$0.78,45.06
2014-12-31,30.64,$0.57,53.75
2014-09-30,24.51,$0.51,48.06
2014-06-30,25.05,$0.49,51.13
2014-03-31,22.48,$0.70,32.12
2013-12-31,23.1,$0.61,37.87
2013-09-30,19.39,$0.47,41.26
