Beazer Homes USA PE Ratio Historical Data,Beazer Homes USA PE Ratio Historical Data,Beazer Homes USA PE Ratio Historical Data,Beazer Homes USA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.3,,7.18
2024-06-30,27.48,$4.64,5.92
2024-03-31,32.8,$5.18,6.33
2023-12-31,33.79,$5.05,6.69
2023-09-30,24.91,$5.15,4.84
2023-06-30,28.29,$6.17,4.59
2023-03-31,15.88,$6.51,2.44
2022-12-31,12.76,$6.83,1.87
2022-09-30,9.67,$7.17,1.35
2022-06-30,12.07,$5.92,2.04
2022-03-31,15.22,$5.38,2.83
2021-12-31,23.22,$4.74,4.9
2021-09-30,17.25,$4.00,4.31
2021-06-30,19.29,$3.22,5.99
2021-03-31,20.92,$2.51,8.33
2020-12-31,15.15,$2.05,7.39
2020-09-30,13.2,$1.74,7.59
2020-06-30,10.07,$1.03,9.78
2020-03-31,6.44,$0.90,7.16
2019-12-31,14.13,$-2.73,0.0
2019-09-30,14.9,$-2.59,0.0
2019-06-30,9.61,$-0.83,0.0
2019-03-31,11.51,$-0.80,0.0
2018-12-31,9.48,$2.83,3.35
2018-09-30,10.5,$-1.48,0.0
2018-06-30,14.75,$-2.29,0.0
2018-03-31,15.95,$-2.48,0.0
2017-12-31,19.21,$-3.06,0.0
2017-09-30,18.74,$0.98,19.12
2017-06-30,13.72,$-0.08,0.0
2017-03-31,12.13,$-0.12,0.0
2016-12-31,13.3,$0.07,190.0
2016-09-30,11.66,$0.14,83.29
2016-06-30,7.75,$11.38,0.68
2016-03-31,8.72,$11.58,0.75
2015-12-31,11.49,$11.54,1.0
2015-09-30,13.33,$10.67,1.25
2015-06-30,19.95,$1.34,14.89
2015-03-31,17.72,$0.65,27.26
2014-12-31,19.36,$0.52,37.23
2014-09-30,16.78,$1.74,9.64
2014-03-31,20.08,$-0.37,0.0
2013-12-31,24.42,$-0.86,0.0
2013-09-30,18.0,$-1.49,0.0
2013-06-30,17.52,$-4.69,0.0
2013-03-31,15.84,$-6.46,0.0
2012-12-31,16.89,$-8.21,0.0
2012-09-30,17.75,$-7.32,0.0
2012-06-30,16.25,$-7.40,0.0
2012-03-31,16.25,$-9.40,0.0
2011-12-31,12.4,$-10.15,0.0
2011-09-30,7.55,$-14.25,0.0
2011-06-30,16.95,$-13.40,0.0
2010-12-31,26.95,$-9.00,0.0
2010-09-30,20.65,$0.15,137.67
2010-06-30,18.15,$8.25,2.2
2010-03-31,22.7,$6.60,3.44
2009-12-31,24.2,$2.60,9.31
2009-09-30,27.95,$-18.10,0.0
2011-03-31,22.85,$-22.62,0.0
