Topgolf Callaway Brands PE Ratio Historical Data,Topgolf Callaway Brands PE Ratio Historical Data,Topgolf Callaway Brands PE Ratio Historical Data,Topgolf Callaway Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.0,,110.0
2024-06-30,15.3,$0.10,153.0
2024-03-31,16.17,$0.37,43.7
2023-12-31,14.34,$0.46,31.17
2023-09-30,13.84,$0.49,28.24
2023-06-30,19.85,$0.53,37.45
2023-03-31,21.62,$0.47,46.0
2022-12-31,19.75,$0.78,25.32
2022-09-30,19.26,$1.03,18.7
2022-06-30,20.4,$0.74,27.57
2022-03-31,23.42,$0.68,34.44
2021-12-31,27.44,$2.43,11.29
2021-09-30,27.63,$2.14,12.91
2021-06-30,33.73,$2.77,12.18
2021-03-31,26.75,$0.52,51.44
2020-12-31,24.01,$-1.37,0.0
2020-09-30,19.14,$-1.25,0.0
2020-06-30,17.51,$-1.47,0.0
2020-03-31,10.21,$0.61,16.74
2019-12-31,21.18,$0.81,26.14
2019-09-30,19.38,$0.82,23.63
2019-06-30,17.12,$0.60,28.54
2019-03-31,15.88,$0.93,17.08
2018-12-31,15.25,$1.08,14.12
2018-09-30,24.19,$1.18,20.5
2018-06-30,18.89,$1.11,17.01
2018-03-31,16.28,$0.81,20.1
2017-12-31,13.85,$0.43,32.21
2017-09-30,14.34,$1.91,7.51
2017-06-30,12.69,$1.82,6.97
2017-03-31,10.98,$1.85,5.94
2016-12-31,10.86,$1.98,5.49
2016-09-30,11.5,$0.37,31.08
2016-06-30,10.1,$0.39,25.9
2016-03-31,9.02,$0.18,50.08
2015-12-31,9.3,$0.17,54.71
2015-09-30,8.24,$-0.04,0.0
2015-06-30,8.81,$-0.01,0.0
2015-03-31,9.38,$-0.12,0.0
2014-12-31,7.57,$0.10,75.7
2014-09-30,7.11,$-0.01,0.0
2014-06-30,8.16,$-0.32,0.0
2014-03-31,10.01,$-0.24,0.0
2013-12-31,8.24,$-1.88,0.0
2013-09-30,6.95,$-2.56,0.0
2013-06-30,6.42,$-2.24,0.0
2012-12-31,6.32,$-1.99,0.0
2012-09-30,5.96,$-1.97,0.0
2012-06-30,5.73,$-0.17,0.0
2012-03-31,6.54,$-1.18,0.0
2011-12-31,5.34,$-2.58,0.0
2013-03-31,6.45,$-1.42,0.0
2011-09-30,4.99,$-2.43,0.0
2011-06-30,5.99,$-1.75,0.0
2011-03-31,6.56,$-0.58,0.0
2010-12-31,7.75,$-0.49,0.0
2010-09-30,6.71,$-0.24,0.0
2010-06-30,5.78,$-0.16,0.0
2010-03-31,8.43,$-0.20,0.0
2009-12-31,7.2,$-0.33,0.0
