Baldwin Insurance PE Ratio Historical Data,Baldwin Insurance PE Ratio Historical Data,Baldwin Insurance PE Ratio Historical Data,Baldwin Insurance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,55.29,,0.0
2024-06-30,35.47,$-0.80,0.0
2024-03-31,28.94,$-0.92,0.0
2023-12-31,24.02,$-1.49,0.0
2023-09-30,23.23,$-1.77,0.0
2023-06-30,24.78,$-1.91,0.0
2023-03-31,25.46,$-1.37,0.0
2022-12-31,25.14,$-0.74,0.0
2022-09-30,26.35,$-0.31,0.0
2022-06-30,24.15,$-0.16,0.0
2022-03-31,26.83,$-0.52,0.0
2021-12-31,36.11,$-0.59,0.0
2021-09-30,33.29,$-0.47,0.0
2021-06-30,26.65,$-0.29,0.0
2021-03-31,27.25,$-0.25,0.0
2020-12-31,29.97,$-0.50,0.0
2020-09-30,24.91,$-0.69,0.0
