Pacific Premier Bancorp Inc PE Ratio Historical Data,Pacific Premier Bancorp Inc PE Ratio Historical Data,Pacific Premier Bancorp Inc PE Ratio Historical Data,Pacific Premier Bancorp Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.37,,0.0
2024-06-30,22.65,$-0.04,0.0
2024-03-31,23.34,$0.13,179.5
2023-12-31,27.92,$0.30,93.07
2023-09-30,20.54,$2.51,8.18
2023-06-30,19.27,$2.80,6.88
2023-03-31,22.0,$2.93,7.51
2022-12-31,28.64,$2.97,9.64
2022-09-30,27.84,$3.09,9.01
2022-06-30,26.04,$3.27,7.96
2022-03-31,31.16,$3.55,8.78
2021-12-31,34.97,$3.57,9.8
2021-09-30,35.92,$3.39,10.6
2021-06-30,36.35,$3.15,11.54
2021-03-31,37.08,$0.73,50.79
2020-12-31,26.52,$0.44,60.27
2020-09-30,16.87,$0.42,40.16
2020-06-30,17.95,$0.40,44.87
2020-03-31,15.4,$2.43,6.34
2019-12-31,26.43,$2.62,10.09
2019-09-30,25.12,$2.56,9.81
2019-06-30,24.68,$2.33,10.59
2019-03-31,21.05,$2.29,9.19
2018-12-31,20.1,$2.27,8.85
2018-09-30,29.3,$2.00,14.65
2018-06-30,30.04,$2.04,14.73
2018-03-31,31.66,$1.81,17.49
2017-12-31,31.5,$1.55,20.32
2017-09-30,29.73,$1.62,18.35
2017-06-30,29.06,$1.45,20.04
2017-03-31,30.36,$1.47,20.65
2016-12-31,27.84,$1.46,19.07
2016-09-30,20.84,$1.40,14.88
2016-06-30,18.9,$1.43,13.22
2016-03-31,16.83,$1.42,11.85
2015-12-31,16.73,$1.18,14.18
2015-09-30,16.0,$1.04,15.39
2015-06-30,13.36,$0.99,13.49
2015-03-31,12.75,$0.90,14.17
2014-12-31,13.65,$0.96,14.22
2014-09-30,11.06,$0.97,11.41
2014-06-30,11.1,$0.84,13.21
2014-03-31,12.71,$0.55,23.11
2013-12-31,12.4,$0.53,23.39
2013-09-30,10.57,$0.61,17.33
2013-06-30,9.62,$0.75,12.83
2013-03-31,10.36,$1.32,7.85
2012-12-31,8.06,$1.44,5.6
2012-09-30,7.51,$1.36,5.52
2012-06-30,6.62,$1.27,5.21
2012-03-31,6.3,$0.80,7.88
2011-12-31,4.99,$0.99,5.04
2011-09-30,4.65,$0.89,5.22
2011-06-30,5.04,$0.83,6.07
2011-03-31,5.37,$0.78,6.89
2010-12-31,5.1,$0.38,13.43
2010-09-30,3.5,$0.20,17.52
2010-06-30,3.3,$0.03,109.99
2010-03-31,3.86,$-0.12,0.0
2009-12-31,2.66,$-0.07,0.0
