Imperial Oil PE Ratio Historical Data,Imperial Oil PE Ratio Historical Data,Imperial Oil PE Ratio Historical Data,Imperial Oil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,77.5,,10.98
2024-06-30,67.68,$7.06,9.59
2024-03-31,68.1,$6.38,10.67
2023-12-31,56.34,$6.31,8.93
2023-09-30,60.28,$6.61,9.12
2023-06-30,49.75,$7.03,7.08
2023-03-31,49.01,$9.01,5.44
2022-12-31,46.72,$8.81,5.3
2022-09-30,41.24,$7.64,5.4
2022-06-30,44.66,$6.18,7.23
2022-03-31,45.58,$3.75,12.16
2021-12-31,33.86,$2.79,12.14
2021-09-30,29.42,$0.65,45.26
2021-06-30,28.12,$-0.37,0.0
2021-03-31,22.22,$-1.30,0.0
2020-12-31,17.35,$-1.91,0.0
2020-09-30,10.8,$-0.44,0.0
2020-06-30,14.34,$-0.02,0.0
2020-03-31,9.98,$1.67,5.97
2019-12-31,23.26,$2.15,10.82
2019-09-30,22.72,$2.70,8.42
2019-06-30,23.99,$3.00,8.0
2019-03-31,23.59,$2.02,11.68
2018-12-31,21.7,$2.22,9.78
2018-09-30,27.61,$1.27,21.74
2018-06-30,28.23,$0.90,31.37
2018-03-31,22.4,$0.64,35.0
2017-12-31,26.24,$0.45,58.32
2017-09-30,26.77,$1.85,14.47
2017-06-30,24.35,$2.40,10.15
2017-03-31,25.34,$2.31,10.97
2016-12-31,28.78,$1.92,14.99
2016-09-30,25.85,$0.74,34.93
2016-06-30,25.95,$0.27,96.1
2016-03-31,27.36,$0.54,50.67
2015-12-31,26.56,$1.04,25.53
2015-09-30,25.73,$1.57,16.39
2015-06-30,31.34,$2.12,14.78
2015-03-31,32.27,$3.35,9.63
2014-12-31,34.73,$3.95,8.79
2014-09-30,38.01,$4.44,8.56
2014-06-30,42.27,$4.19,10.09
2014-03-31,37.3,$3.22,11.58
2013-12-31,35.35,$3.13,11.29
2013-09-30,35.03,$3.28,10.68
2013-06-30,30.37,$3.77,8.05
2013-03-31,32.38,$4.16,7.78
2012-12-31,33.98,$4.45,7.64
2012-09-30,36.27,$4.36,8.32
2012-06-30,32.79,$4.15,7.9
2012-03-31,35.57,$4.29,8.29
2011-12-31,34.77,$4.04,8.61
2011-09-30,28.16,$3.80,7.41
2011-06-30,36.23,$3.27,11.08
2011-03-31,39.62,$2.95,13.43
2010-12-31,31.37,$2.54,12.35
2010-09-30,29.19,$2.21,13.21
2010-06-30,28.03,$2.33,12.03
2010-03-31,29.84,$1.96,15.22
2009-12-31,29.6,$1.68,17.62
