Sandy Spring Bancorp PE Ratio Historical Data,Sandy Spring Bancorp PE Ratio Historical Data,Sandy Spring Bancorp PE Ratio Historical Data,Sandy Spring Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.11,,16.56
2024-06-30,24.07,$2.00,12.03
2024-03-31,22.55,$2.04,11.05
2023-12-31,26.09,$2.73,9.56
2023-09-30,20.21,$2.91,6.95
2023-06-30,21.1,$3.20,6.59
2023-03-31,23.78,$3.86,6.16
2022-12-31,31.93,$3.68,8.68
2022-09-30,31.64,$3.91,8.09
2022-06-30,34.76,$4.36,7.97
2022-03-31,39.61,$4.34,9.13
2021-12-31,42.09,$4.96,8.49
2021-09-30,39.86,$5.16,7.73
2021-06-30,38.12,$4.90,7.78
2021-03-31,37.26,$3.40,10.96
2020-12-31,27.37,$2.10,13.04
2020-09-30,19.43,$1.71,11.36
2020-06-30,20.61,$1.59,12.97
2020-03-31,18.57,$2.69,6.9
2019-12-31,30.8,$3.26,9.45
2019-09-30,27.18,$3.18,8.55
2019-06-30,27.88,$3.18,8.77
2019-03-31,24.79,$3.07,8.07
2018-12-31,24.63,$2.83,8.7
2018-09-30,30.65,$2.45,12.51
2018-06-30,31.75,$2.25,14.11
2018-03-31,29.8,$2.18,13.67
2017-12-31,29.79,$2.20,13.54
2017-09-30,31.44,$2.41,13.04
2017-06-30,30.64,$2.35,13.04
2017-03-31,30.71,$2.18,14.09
2016-12-31,29.77,$2.00,14.88
2016-09-30,22.58,$1.97,11.46
2016-06-30,21.29,$1.86,11.44
2016-03-31,20.21,$1.84,10.98
2015-12-31,19.39,$1.84,10.54
2015-09-30,18.68,$1.68,11.12
2015-06-30,19.8,$1.67,11.86
2015-03-31,18.41,$1.53,12.03
2014-12-31,18.14,$1.51,12.02
2014-09-30,15.8,$1.53,10.33
2014-06-30,17.05,$1.57,10.86
2014-03-31,16.97,$1.78,9.54
2013-12-31,19.01,$1.77,10.74
2013-09-30,15.56,$1.79,8.69
2013-06-30,14.38,$1.75,8.22
2013-03-31,13.27,$1.56,8.5
2012-12-31,12.73,$1.49,8.54
2012-09-30,12.52,$1.39,9.01
2012-06-30,11.63,$1.42,8.19
2012-03-31,11.67,$1.46,7.99
2011-12-31,11.21,$1.41,7.95
2011-09-30,9.29,$1.38,6.73
2011-06-30,11.36,$1.18,9.63
2011-03-31,11.61,$1.05,11.05
2010-12-31,11.54,$0.71,16.25
2010-09-30,9.7,$0.17,57.06
2010-06-30,8.76,$-1.00,0.0
2010-03-31,9.38,$-1.30,0.0
2009-12-31,5.55,$-1.20,0.0
