Sinclair PE Ratio Historical Data,Sinclair PE Ratio Historical Data,Sinclair PE Ratio Historical Data,Sinclair PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.58,,0.0
2024-06-30,13.33,$-7.20,0.0
2023-12-31,13.03,$-4.83,0.0
2023-09-30,11.22,$1.31,8.56
2023-06-30,13.82,$2.37,5.83
2023-03-31,16.89,$3.58,4.72
2022-12-31,15.02,$36.33,0.41
2022-09-30,17.29,$34.36,0.5
2022-06-30,19.28,$34.29,0.56
2022-03-31,26.21,$30.05,0.87
2021-12-31,24.51,$0.93,26.35
2021-09-30,29.12,$-40.55,0.0
2021-06-30,30.34,$-37.68,0.0
2020-12-31,28.76,$-31.92,0.0
2020-09-30,17.24,$-37.72,0.0
2020-06-30,16.39,$4.78,3.43
2020-03-31,14.13,$1.02,13.85
2019-12-31,29.02,$0.12,241.86
2021-03-31,26.56,$-0.12,0.0
2019-09-30,37.0,$2.14,17.29
2019-06-30,46.21,$3.40,13.59
2019-03-31,33.04,$3.22,10.26
2018-12-31,22.49,$3.41,6.6
2018-09-30,24.21,$5.63,4.3
2018-06-30,27.28,$5.31,5.14
2018-03-31,26.39,$5.47,4.82
2017-12-31,31.74,$5.66,5.61
2017-09-30,26.73,$2.66,10.05
2017-06-30,27.28,$2.90,9.41
2017-03-31,33.4,$2.99,11.17
2016-12-31,27.38,$2.63,10.41
2016-09-30,23.58,$1.92,12.28
2016-06-30,24.23,$1.83,13.24
2016-03-31,24.81,$1.79,13.86
2015-12-31,26.12,$1.79,14.59
2015-09-30,20.23,$2.16,9.37
2015-06-30,22.16,$2.20,10.07
2015-03-31,24.81,$2.14,11.59
2014-12-31,21.48,$2.16,9.94
2014-09-30,20.37,$1.20,16.97
2014-06-30,26.98,$1.07,25.21
2014-03-31,20.93,$0.84,24.92
2013-12-31,27.46,$0.78,35.2
2013-09-30,25.64,$1.49,17.21
2013-06-30,22.33,$1.45,15.4
2013-03-31,15.34,$1.63,9.41
2012-12-31,9.44,$1.78,5.3
2012-09-30,7.58,$1.33,5.7
2012-06-30,6.05,$1.25,4.84
2012-03-31,7.28,$1.11,6.56
2011-12-31,7.38,$0.94,7.85
2011-09-30,4.61,$1.06,4.35
2011-06-30,6.96,$1.17,5.95
2011-03-31,7.84,$1.12,7.0
2010-12-31,5.07,$1.14,4.45
2024-03-31,13.47,$0.88,15.31
2010-09-30,4.13,$-0.32,0.0
2010-06-30,3.43,$-0.31,0.0
2010-03-31,2.99,$-0.48,0.0
2009-12-31,2.37,$-1.68,0.0
