Applied Materials PE Ratio Historical Data,Applied Materials PE Ratio Historical Data,Applied Materials PE Ratio Historical Data,Applied Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,197.26,,22.16
2024-07-31,211.78,$8.90,23.8
2024-04-30,197.89,$8.70,22.75
2024-01-31,163.4,$8.50,19.22
2023-10-31,131.34,$8.11,16.2
2023-07-31,150.11,$7.58,19.8
2023-04-30,111.63,$7.58,14.73
2023-01-31,109.85,$7.46,14.73
2022-10-31,86.78,$7.44,11.66
2022-07-31,103.91,$7.48,13.89
2022-04-30,107.93,$7.50,14.39
2022-01-31,134.9,$7.19,18.76
2021-10-31,133.2,$6.41,20.78
2021-07-31,136.15,$5.75,23.68
2021-04-30,128.9,$4.79,26.91
2021-01-31,93.73,$4.18,22.42
2020-10-31,57.26,$3.92,14.61
2020-07-31,61.98,$3.44,18.02
2020-04-30,47.68,$3.14,15.19
2020-01-31,55.48,$3.02,18.37
2019-10-31,51.73,$2.86,18.09
2019-07-31,46.86,$3.00,15.62
2019-04-30,41.61,$3.56,11.69
2019-01-31,36.71,$3.95,9.29
2018-10-31,30.71,$3.28,9.36
2018-07-31,45.21,$3.30,13.7
2018-04-30,46.0,$2.98,15.44
2018-01-31,49.58,$2.65,18.71
2017-10-31,52.08,$3.17,16.43
2017-07-31,40.8,$2.82,14.47
2017-04-30,37.31,$2.43,15.35
2017-01-31,31.38,$1.96,16.01
2016-10-31,26.56,$1.56,17.02
2016-07-31,23.93,$1.28,18.7
2016-04-30,18.55,$1.09,17.02
2016-01-31,15.91,$1.09,14.6
2015-10-31,15.03,$1.12,13.42
2015-07-31,15.47,$1.07,14.46
2015-04-30,17.55,$1.04,16.87
2015-01-31,20.17,$0.96,21.01
2014-10-31,19.42,$0.89,21.82
2014-07-31,18.34,$0.81,22.65
2014-04-30,16.6,$0.71,23.38
2014-01-31,14.57,$0.39,37.36
2013-10-31,15.37,$0.21,73.21
2013-07-31,13.96,$-0.36,0.0
2013-04-30,12.33,$-0.33,0.0
2013-01-31,10.9,$0.00,0.0
2012-10-31,8.87,$0.06,147.87
2012-07-31,9.05,$0.82,11.03
2012-04-30,9.87,$1.01,9.78
2012-01-31,10.05,$1.16,8.66
2011-10-31,10.01,$1.45,6.9
2011-07-31,9.94,$1.46,6.81
2011-04-30,12.58,$1.19,10.57
2011-01-31,12.53,$1.02,12.28
2010-10-31,9.81,$0.70,14.01
2010-07-31,9.31,$0.45,20.69
2010-04-30,10.81,$0.32,33.79
2010-01-31,9.51,$-0.07,0.0
2009-10-31,9.48,$-0.23,0.0
