Kura Sushi USA PE Ratio Historical Data,Kura Sushi USA PE Ratio Historical Data,Kura Sushi USA PE Ratio Historical Data,Kura Sushi USA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,87.98,,0.0
2024-05-31,99.91,$-0.07,0.0
2024-02-29,95.03,$0.14,678.79
2023-11-30,62.48,$0.13,480.62
2023-08-31,87.37,$0.10,873.7
2023-05-31,81.49,$0.04,2037.25
2023-02-28,62.62,$-0.07,0.0
2022-11-30,65.7,$-0.16,0.0
2022-08-31,74.76,$-0.08,0.0
2022-05-31,37.69,$-0.36,0.0
2022-02-28,52.7,$-0.32,0.0
2021-11-30,63.6,$-0.59,0.0
2021-08-31,50.81,$-1.22,0.0
2021-05-31,42.98,$-1.95,0.0
2021-02-28,29.89,$-3.14,0.0
2020-11-30,16.47,$-2.70,0.0
2020-08-31,12.22,$-2.09,0.0
2020-05-31,14.59,$-1.12,0.0
