Plainss PE Ratio Historical Data,Plainss PE Ratio Historical Data,Plainss PE Ratio Historical Data,Plainss PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.48,,22.27
2024-06-30,18.82,$0.83,22.67
2024-03-31,17.94,$0.88,20.38
2023-12-31,15.38,$1.02,15.08
2023-09-30,15.54,$0.98,15.86
2023-06-30,14.3,$1.19,12.02
2023-03-31,12.65,$1.10,11.5
2022-12-31,12.0,$1.18,10.17
2022-09-30,10.52,$0.83,12.68
2022-06-30,9.76,$0.12,81.34
2021-12-31,9.27,$0.32,28.97
2021-09-30,9.69,$-0.22,0.0
2021-06-30,10.56,$0.01,1055.96
2021-03-31,8.16,$0.45,18.13
2020-12-31,7.19,$0.18,39.95
2022-03-31,10.72,$-2.89,0.0
2020-09-30,5.04,$-2.74,0.0
2020-06-30,7.2,$-2.42,0.0
2020-03-31,4.45,$-2.11,0.0
2019-12-31,14.73,$1.99,7.4
2019-09-30,16.19,$2.85,5.68
2019-06-30,18.76,$3.14,5.98
2019-03-31,18.45,$2.79,6.61
2018-12-31,14.69,$2.10,6.99
2018-09-30,17.67,$-4.18,0.0
2018-06-30,17.02,$-4.85,0.0
2018-03-31,15.29,$-4.74,0.0
2017-12-31,15.22,$-4.63,0.0
2017-09-30,14.94,$0.45,33.2
2017-06-30,17.52,$0.66,26.55
2017-03-31,20.55,$0.90,22.86
2016-12-31,22.42,$0.93,24.06
2016-09-30,21.93,$1.30,16.8
2016-06-30,17.29,$1.44,12.02
2016-03-31,14.09,$1.41,9.98
2015-12-31,14.87,$1.38,10.74
2015-09-30,27.15,$1.41,19.24
2015-06-30,39.73,$1.33,29.84
2014-12-31,38.89,$1.25,31.07
2014-09-30,46.1,$1.17,39.34
2014-06-30,47.83,$1.22,39.04
