PPL PE Ratio Historical Data,PPL PE Ratio Historical Data,PPL PE Ratio Historical Data,PPL PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,31.91,,27.99
2024-06-30,27.65,$1.14,24.25
2024-03-31,27.28,$1.03,26.49
2023-12-31,26.6,$0.87,30.57
2023-09-30,22.91,$0.96,23.87
2023-06-30,25.49,$0.81,31.46
2022-12-31,27.64,$1.03,26.84
2022-09-30,23.8,$0.95,25.05
2022-06-30,25.28,$1.10,22.98
2022-03-31,26.38,$1.21,21.8
2021-12-31,27.56,$0.87,31.67
2023-03-31,26.53,$-1.70,0.0
2021-09-30,25.19,$-1.71,0.0
2021-06-30,24.93,$-1.61,0.0
2021-03-31,25.34,$-1.19,0.0
2020-12-31,24.4,$1.92,12.71
2020-09-30,23.21,$2.02,11.49
2020-06-30,21.72,$2.30,9.44
2020-03-31,20.45,$2.45,8.35
2019-12-31,29.31,$2.37,12.37
2019-09-30,25.41,$2.46,10.33
2019-06-30,24.68,$2.43,10.15
2019-03-31,24.93,$2.56,9.74
2018-12-31,21.97,$2.57,8.55
2018-09-30,22.39,$2.11,10.61
2018-06-30,21.55,$2.00,10.78
2018-03-31,21.02,$1.70,12.36
2017-12-31,22.66,$1.64,13.82
2017-09-30,27.47,$2.21,12.43
2017-06-30,27.71,$2.39,11.59
2017-03-31,26.53,$2.67,9.94
2016-12-31,23.9,$2.79,8.57
2016-09-30,23.99,$2.70,8.89
2016-06-30,25.92,$2.59,10.01
2016-03-31,25.88,$0.75,34.51
2015-12-31,22.96,$1.00,22.96
2015-09-30,21.88,$1.45,15.09
2015-06-30,19.36,$1.61,12.02
2015-03-31,20.37,$3.08,6.61
2014-12-31,21.73,$2.61,8.32
2014-09-30,19.43,$1.41,13.78
2014-06-30,20.8,$1.29,16.12
2014-03-31,19.19,$1.58,12.15
2013-12-31,17.22,$1.74,9.9
2013-09-30,17.18,$2.50,6.87
2013-06-30,16.9,$2.49,6.79
2013-03-31,17.27,$2.32,7.44
2012-12-31,15.61,$2.60,6.0
2012-09-30,15.64,$2.78,5.63
2012-06-30,14.79,$2.93,5.05
2012-03-31,14.84,$2.82,5.26
2011-12-31,15.25,$2.71,5.63
2011-09-30,14.62,$2.66,5.5
2011-06-30,14.08,$2.41,5.84
2011-03-31,12.64,$2.28,5.54
2010-12-31,12.97,$2.12,6.12
2010-09-30,13.24,$1.79,7.39
2010-06-30,11.97,$1.33,9.0
2010-03-31,13.12,$1.09,12.03
2009-12-31,15.11,$1.07,14.12
