Kymera Therapeutics PE Ratio Historical Data,Kymera Therapeutics PE Ratio Historical Data,Kymera Therapeutics PE Ratio Historical Data,Kymera Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,46.25,,0.0
2024-06-30,29.85,$-2.42,0.0
2024-03-31,40.2,$-2.51,0.0
2023-12-31,25.46,$-2.52,0.0
2023-09-30,13.9,$-2.87,0.0
2023-06-30,22.99,$-2.76,0.0
2023-03-31,29.63,$-2.87,0.0
2022-12-31,24.96,$-2.88,0.0
2022-09-30,21.77,$-2.94,0.0
2022-06-30,19.69,$-2.71,0.0
2022-03-31,42.32,$-2.48,0.0
2021-12-31,63.49,$-2.06,0.0
2021-09-30,58.74,$-1.69,0.0
2021-06-30,48.5,$-1.52,0.0
